cod_mpio,municipio,departamento,riesgo_nivel,score_anomalia,idx_minero,idx_deforestacion,idx_fuego,idx_hidrico,idx_sensibilidad,es_anomalia
50350,LA MACARENA,META,Crítico,1.0,0.2121,0.9652,0.6871,0.0,1.0,1
50325,MAPIRIPÁN,META,Crítico,0.9363,0.0,0.9098,0.713,0.0,0.7004,1
99773,CUMARIBO,VICHADA,Crítico,0.9346,0.1102,0.8564,0.8971,0.0,0.0,1
73200,COELLO,TOLIMA,Crítico,0.9142,0.7868,0.0,0.5801,0.49,0.0,1
68081,BARRANCABERMEJA,SANTANDER,Crítico,0.8959,0.73,0.0,0.4561,0.43,0.7133,1
18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,Crítico,0.8906,0.3478,1.0,0.539,0.0,0.6335,1
50370,URIBE,META,Crítico,0.8711,0.2112,0.8582,0.0,0.0,1.0,1
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,Crítico,0.8671,0.0,0.9839,0.3203,0.0,0.5515,1
50590,PUERTO RICO,META,Crítico,0.8623,0.134,0.8379,0.0,0.0,1.0,1
20178,CHIRIGUANÁ,CESAR,Crítico,0.8414,0.4954,0.0,0.9923,0.305,0.0,1
85139,MANÍ,CASANARE,Crítico,0.8326,0.4103,0.0,0.5916,0.4,0.6337,1
13430,MAGANGUÉ,BOLÍVAR,Alto,0.8255,0.2489,0.0,0.7014,0.39,0.0,1
73275,FLANDES,TOLIMA,Crítico,0.8236,0.6896,0.0,0.2976,0.473,0.0,1
23466,MONTELÍBANO,CÓRDOBA,Crítico,0.8226,0.6158,0.0,0.4304,0.46,0.25,1
20621,LA PAZ,CESAR,Crítico,0.8144,0.5154,0.0,0.7053,0.391,0.25,1
81220,CRAVO NORTE,ARAUCA,Medio,0.8063,0.0,0.0,0.5853,0.234,0.8128,1
50006,ACACÍAS,META,Crítico,0.8062,0.7731,0.0,0.0497,0.4,0.6273,1
50568,PUERTO GAITÁN,META,Crítico,0.7969,0.4318,0.5224,0.8073,0.0,0.537,1
95025,EL RETORNO,GUAVIARE,Alto,0.7968,0.0,0.8771,0.0,0.0,0.8181,1
25286,FUNZA,CUNDINAMARCA,Bajo,0.7874,0.0,0.0,0.0,0.567,0.478,1
41306,GIGANTE,HUILA,Bajo,0.7871,0.0266,0.0,0.0,0.43,0.6656,1
