codigo,upz,localidad,localidad_codigo,score_remocion,score_agua,score_fuego_estructural,score_operativo,indice_presion_ecoterritorial_bogota,nivel,lluvia_72h_mm,incidentes_7d,gradiente_oriente
UPZ52,La Flora,Usme,05,1.0,0.846,0.968,0.139,0.861,Crítico,62,4,0.769
UPZ59,Alfonso Lopez,Usme,05,1.0,0.829,0.948,0.139,0.852,Crítico,62,4,0.723
UPZ60,Parque Entrenubes,Usme,05,1.0,0.827,0.946,0.139,0.851,Crítico,62,4,0.718
UPZ57,Gran Yomasa,Usme,05,1.0,0.821,0.939,0.139,0.848,Crítico,62,4,0.702
UPZ63,El Mochuelo,Ciudad Bolívar,19,1.0,0.72,1.0,0.299,0.846,Crítico,58,5,0.63
UPZ64,Monte Blanco,Ciudad Bolívar,19,1.0,0.722,1.0,0.299,0.846,Crítico,58,5,0.635
UPR3,Upr Rio Tunjuelo,Ciudad Bolívar,19,1.0,0.718,1.0,0.299,0.845,Crítico,58,5,0.623
UPZ56,Danubio,Usme,05,1.0,0.812,0.929,0.139,0.843,Crítico,62,4,0.678
UPZ68,El Tesoro,Ciudad Bolívar,19,1.0,0.703,1.0,0.299,0.841,Crítico,58,5,0.579
UPZ61,Ciudad Usme,Usme,05,1.0,0.808,0.924,0.139,0.841,Crítico,62,4,0.667
UPZ67,Lucero,Ciudad Bolívar,19,1.0,0.699,1.0,0.299,0.84,Crítico,58,5,0.569
UPZ66,San Francisco,Ciudad Bolívar,19,1.0,0.699,1.0,0.299,0.84,Crítico,58,5,0.569
UPZ58,Comuneros,Usme,05,1.0,0.804,0.92,0.139,0.839,Crítico,62,4,0.656
UPZ65,Arborizadora,Ciudad Bolívar,19,1.0,0.697,1.0,0.299,0.839,Crítico,58,5,0.563
UPZ70,Jerusalem,Ciudad Bolívar,19,0.985,0.684,1.0,0.299,0.829,Crítico,58,5,0.525
UPZ32,San Blas,San Cristóbal,04,1.0,0.421,1.0,0.976,0.824,Crítico,54,3,0.8
UPZ33,Sosiego,San Cristóbal,04,1.0,0.418,1.0,0.976,0.823,Crítico,54,3,0.786
UPZ10,La Uribe,Usaquén,01,1.0,0.815,0.825,0.133,0.823,Crítico,38,1,0.992
UPZ11,San Cristobal Norte,Usaquén,01,1.0,0.816,0.826,0.133,0.823,Crítico,38,1,0.994
UPZ50,La Gloria,San Cristóbal,04,1.0,0.414,1.0,0.976,0.822,Crítico,54,3,0.76
