cod_num,eventos_remocion,eventos_inundacion
1,37,21
10,1,5
100,0,38
101,0,12
102,0,18
103,0,2
104,0,2
105,0,2
106,0,23
107,0,1
108,0,6
109,0,1
11,55,12
110,0,0
111,1,2
112,0,19
113,0,1
114,0,3
115,0,2
116,0,1
117,0,1
12,0,4
13,8,35
14,24,25
15,0,2
16,1,52
17,0,4
18,0,6
19,0,11
2,0,1
20,0,11
21,0,12
22,0,45
23,1,4
24,3,12
25,0,18
26,0,34
27,12,17
28,7,33
29,0,6
3,0,1
30,0,15
31,0,14
32,61,20
33,19,1
34,14,5
35,0,2
36,4,3
37,0,4
38,0,16
39,1,56
40,0,22
41,0,33
42,0,82
43,1,11
44,0,11
45,0,33
46,0,2
47,0,6
48,0,14
49,0,1
50,43,19
51,22,14
52,18,12
53,36,13
54,48,8
55,51,7
56,17,6
57,36,16
58,17,16
59,20,9
60,2,0
61,9,4
62,0,15
63,0,0
64,0,0
65,0,12
66,12,15
67,140,25
68,42,7
69,52,9
70,44,13
71,2,22
72,0,0
73,1,11
74,0,18
75,0,10
76,0,4
77,0,7
78,0,3
79,0,7
80,0,6
81,1,3
82,0,8
83,0,2
84,2,19
85,1,28
86,0,2
87,0,5
88,20,7
89,8,2
9,29,21
90,46,15
91,0,7
92,5,3
93,2,3
94,11,8
95,1,5
96,67,9
97,1,40
98,0,32
99,3,10
