upz_cod,eventos_remocion,eventos_inundacion,eventos_total,dias_remocion,codigo,idx_remocion_obs,idx_inundacion_obs,idx_territorial_obs,naturaleza
1,37,21,2183,35,UPZ1,0.902,0.835,0.924,OBSERVED_DESCRIPTIVE
10,1,5,2684,1,UPZ10,0.607,0.353,0.33,OBSERVED_DESCRIPTIVE
100,0,38,8171,0,UPZ100,0.281,0.955,0.795,OBSERVED_DESCRIPTIVE
101,0,12,7297,0,UPZ101,0.281,0.621,0.482,OBSERVED_DESCRIPTIVE
102,0,18,14913,0,UPZ102,0.281,0.777,0.589,OBSERVED_DESCRIPTIVE
103,0,2,1885,0,UPZ103,0.281,0.179,0.156,OBSERVED_DESCRIPTIVE
104,0,2,3011,0,UPZ104,0.281,0.179,0.156,OBSERVED_DESCRIPTIVE
105,0,2,1678,0,UPZ105,0.281,0.179,0.156,OBSERVED_DESCRIPTIVE
106,0,23,3022,0,UPZ106,0.281,0.866,0.665,OBSERVED_DESCRIPTIVE
107,0,1,3500,0,UPZ107,0.281,0.089,0.076,OBSERVED_DESCRIPTIVE
108,0,6,7252,0,UPZ108,0.281,0.397,0.33,OBSERVED_DESCRIPTIVE
109,0,1,1870,0,UPZ109,0.281,0.089,0.076,OBSERVED_DESCRIPTIVE
11,55,12,4727,51,UPZ11,0.973,0.621,0.964,OBSERVED_DESCRIPTIVE
110,0,0,2143,0,UPZ110,0.281,0.027,0.022,OBSERVED_DESCRIPTIVE
111,1,2,5814,1,UPZ111,0.607,0.179,0.214,OBSERVED_DESCRIPTIVE
112,0,19,5072,0,UPZ112,0.281,0.804,0.616,OBSERVED_DESCRIPTIVE
113,0,1,2091,0,UPZ113,0.281,0.089,0.076,OBSERVED_DESCRIPTIVE
114,0,3,2925,0,UPZ114,0.281,0.254,0.214,OBSERVED_DESCRIPTIVE
115,0,2,1849,0,UPZ115,0.281,0.179,0.156,OBSERVED_DESCRIPTIVE
116,0,1,2758,0,UPZ116,0.281,0.089,0.076,OBSERVED_DESCRIPTIVE
117,0,1,910,0,UPZ117,0.281,0.089,0.076,OBSERVED_DESCRIPTIVE
12,0,4,5337,0,UPZ12,0.281,0.308,0.25,OBSERVED_DESCRIPTIVE
13,8,35,11407,8,UPZ13,0.746,0.946,0.821,OBSERVED_DESCRIPTIVE
14,24,25,8111,23,UPZ14,0.866,0.879,0.848,OBSERVED_DESCRIPTIVE
15,0,2,3554,0,UPZ15,0.281,0.179,0.156,OBSERVED_DESCRIPTIVE
16,1,52,9800,1,UPZ16,0.607,0.982,0.884,OBSERVED_DESCRIPTIVE
17,0,4,3308,0,UPZ17,0.281,0.308,0.25,OBSERVED_DESCRIPTIVE
18,0,6,4336,0,UPZ18,0.281,0.397,0.33,OBSERVED_DESCRIPTIVE
19,0,11,7819,0,UPZ19,0.281,0.571,0.446,OBSERVED_DESCRIPTIVE
2,0,1,214,0,UPZ2,0.281,0.089,0.076,OBSERVED_DESCRIPTIVE
20,0,11,3742,0,UPZ20,0.281,0.571,0.446,OBSERVED_DESCRIPTIVE
21,0,12,4530,0,UPZ21,0.281,0.621,0.482,OBSERVED_DESCRIPTIVE
22,0,45,7147,0,UPZ22,0.281,0.973,0.83,OBSERVED_DESCRIPTIVE
23,1,4,2540,1,UPZ23,0.607,0.308,0.286,OBSERVED_DESCRIPTIVE
24,3,12,5482,3,UPZ24,0.701,0.621,0.554,OBSERVED_DESCRIPTIVE
25,0,18,4062,0,UPZ25,0.281,0.777,0.589,OBSERVED_DESCRIPTIVE
26,0,34,11191,0,UPZ26,0.281,0.938,0.777,OBSERVED_DESCRIPTIVE
27,12,17,10008,10,UPZ27,0.781,0.759,0.714,OBSERVED_DESCRIPTIVE
28,7,33,16796,6,UPZ28,0.732,0.92,0.804,OBSERVED_DESCRIPTIVE
29,0,6,9390,0,UPZ29,0.281,0.397,0.33,OBSERVED_DESCRIPTIVE
3,0,1,84,0,UPZ3,0.281,0.089,0.076,OBSERVED_DESCRIPTIVE
30,0,15,11393,0,UPZ30,0.281,0.71,0.554,OBSERVED_DESCRIPTIVE
31,0,14,5801,0,UPZ31,0.281,0.679,0.531,OBSERVED_DESCRIPTIVE
32,61,20,5101,57,UPZ32,0.982,0.821,0.982,OBSERVED_DESCRIPTIVE
33,19,1,4666,19,UPZ33,0.83,0.089,0.634,OBSERVED_DESCRIPTIVE
34,14,5,7940,13,UPZ34,0.795,0.353,0.616,OBSERVED_DESCRIPTIVE
35,0,2,2486,0,UPZ35,0.281,0.179,0.156,OBSERVED_DESCRIPTIVE
36,4,3,4236,4,UPZ36,0.714,0.254,0.379,OBSERVED_DESCRIPTIVE
37,0,4,5807,0,UPZ37,0.281,0.308,0.25,OBSERVED_DESCRIPTIVE
38,0,16,8324,0,UPZ38,0.281,0.741,0.571,OBSERVED_DESCRIPTIVE
39,1,56,10238,1,UPZ39,0.607,0.991,0.906,OBSERVED_DESCRIPTIVE
40,0,22,7309,0,UPZ40,0.281,0.853,0.652,OBSERVED_DESCRIPTIVE
41,0,33,5040,0,UPZ41,0.281,0.92,0.759,OBSERVED_DESCRIPTIVE
42,0,82,9283,0,UPZ42,0.281,1.0,0.991,OBSERVED_DESCRIPTIVE
43,1,11,6945,1,UPZ43,0.607,0.571,0.482,OBSERVED_DESCRIPTIVE
44,0,11,6044,0,UPZ44,0.281,0.571,0.446,OBSERVED_DESCRIPTIVE
45,0,33,7945,0,UPZ45,0.281,0.92,0.759,OBSERVED_DESCRIPTIVE
46,0,2,8852,0,UPZ46,0.281,0.179,0.156,OBSERVED_DESCRIPTIVE
47,0,6,9555,0,UPZ47,0.281,0.397,0.33,OBSERVED_DESCRIPTIVE
48,0,14,6845,0,UPZ48,0.281,0.679,0.531,OBSERVED_DESCRIPTIVE
49,0,1,2046,0,UPZ49,0.281,0.089,0.076,OBSERVED_DESCRIPTIVE
50,43,19,5903,39,UPZ50,0.92,0.804,0.955,OBSERVED_DESCRIPTIVE
51,22,14,4463,22,UPZ51,0.857,0.679,0.786,OBSERVED_DESCRIPTIVE
52,18,12,1748,17,UPZ52,0.821,0.621,0.732,OBSERVED_DESCRIPTIVE
53,36,13,3688,34,UPZ53,0.888,0.656,0.848,OBSERVED_DESCRIPTIVE
54,48,8,4566,44,UPZ54,0.946,0.491,0.893,OBSERVED_DESCRIPTIVE
55,51,7,3261,44,UPZ55,0.955,0.451,0.924,OBSERVED_DESCRIPTIVE
56,17,6,1636,16,UPZ56,0.808,0.397,0.665,OBSERVED_DESCRIPTIVE
57,36,16,6047,35,UPZ57,0.888,0.741,0.875,OBSERVED_DESCRIPTIVE
58,17,16,4374,15,UPZ58,0.808,0.741,0.759,OBSERVED_DESCRIPTIVE
59,20,9,2861,20,UPZ59,0.844,0.518,0.714,OBSERVED_DESCRIPTIVE
60,2,0,44,2,UPZ60,0.674,0.027,0.156,OBSERVED_DESCRIPTIVE
61,9,4,1091,9,UPZ61,0.759,0.308,0.513,OBSERVED_DESCRIPTIVE
62,0,15,3770,0,UPZ62,0.281,0.71,0.554,OBSERVED_DESCRIPTIVE
63,0,0,89,0,UPZ63,0.281,0.027,0.022,OBSERVED_DESCRIPTIVE
64,0,0,270,0,UPZ64,0.281,0.027,0.022,OBSERVED_DESCRIPTIVE
65,0,12,3506,0,UPZ65,0.281,0.621,0.482,OBSERVED_DESCRIPTIVE
66,12,15,4985,11,UPZ66,0.781,0.71,0.692,OBSERVED_DESCRIPTIVE
67,140,25,8262,112,UPZ67,1.0,0.879,1.0,OBSERVED_DESCRIPTIVE
68,42,7,2980,38,UPZ68,0.911,0.451,0.848,OBSERVED_DESCRIPTIVE
69,52,9,8191,43,UPZ69,0.964,0.518,0.942,OBSERVED_DESCRIPTIVE
70,44,13,4266,39,UPZ70,0.929,0.656,0.906,OBSERVED_DESCRIPTIVE
71,2,22,12669,2,UPZ71,0.674,0.853,0.679,OBSERVED_DESCRIPTIVE
72,0,0,5675,0,UPZ72,0.281,0.027,0.022,OBSERVED_DESCRIPTIVE
73,1,11,10800,1,UPZ73,0.607,0.571,0.482,OBSERVED_DESCRIPTIVE
74,0,18,8112,0,UPZ74,0.281,0.777,0.589,OBSERVED_DESCRIPTIVE
75,0,10,11234,0,UPZ75,0.281,0.54,0.424,OBSERVED_DESCRIPTIVE
76,0,4,2761,0,UPZ76,0.281,0.308,0.25,OBSERVED_DESCRIPTIVE
77,0,7,2970,0,UPZ77,0.281,0.451,0.379,OBSERVED_DESCRIPTIVE
78,0,3,1312,0,UPZ78,0.281,0.254,0.214,OBSERVED_DESCRIPTIVE
79,0,7,5122,0,UPZ79,0.281,0.451,0.379,OBSERVED_DESCRIPTIVE
80,0,6,3820,0,UPZ80,0.281,0.397,0.33,OBSERVED_DESCRIPTIVE
81,1,3,4118,1,UPZ81,0.607,0.254,0.25,OBSERVED_DESCRIPTIVE
82,0,8,9470,0,UPZ82,0.281,0.491,0.406,OBSERVED_DESCRIPTIVE
83,0,2,1465,0,UPZ83,0.281,0.179,0.156,OBSERVED_DESCRIPTIVE
84,2,19,13170,2,UPZ84,0.674,0.804,0.643,OBSERVED_DESCRIPTIVE
85,1,28,13347,1,UPZ85,0.607,0.893,0.714,OBSERVED_DESCRIPTIVE
86,0,2,7436,0,UPZ86,0.281,0.179,0.156,OBSERVED_DESCRIPTIVE
87,0,5,3602,0,UPZ87,0.281,0.353,0.286,OBSERVED_DESCRIPTIVE
88,20,7,6729,18,UPZ88,0.844,0.451,0.692,OBSERVED_DESCRIPTIVE
89,8,2,434,8,UPZ89,0.746,0.179,0.424,OBSERVED_DESCRIPTIVE
9,29,21,6800,26,UPZ9,0.875,0.835,0.866,OBSERVED_DESCRIPTIVE
90,46,15,4852,37,UPZ90,0.938,0.71,0.942,OBSERVED_DESCRIPTIVE
91,0,7,4265,0,UPZ91,0.281,0.451,0.379,OBSERVED_DESCRIPTIVE
92,5,3,1652,5,UPZ92,0.723,0.254,0.406,OBSERVED_DESCRIPTIVE
93,2,3,8981,2,UPZ93,0.674,0.254,0.286,OBSERVED_DESCRIPTIVE
94,11,8,4815,11,UPZ94,0.768,0.491,0.616,OBSERVED_DESCRIPTIVE
95,1,5,3169,1,UPZ95,0.607,0.353,0.33,OBSERVED_DESCRIPTIVE
96,67,9,2458,56,UPZ96,0.991,0.518,0.973,OBSERVED_DESCRIPTIVE
97,1,40,14120,1,UPZ97,0.607,0.964,0.812,OBSERVED_DESCRIPTIVE
98,0,32,15356,0,UPZ98,0.281,0.902,0.741,OBSERVED_DESCRIPTIVE
99,3,10,6576,3,UPZ99,0.701,0.54,0.513,OBSERVED_DESCRIPTIVE
