cod_mpio,municipio,nivel_predicho,conjunto_conformal,tamano_conjunto,certeza_calibrada
5001,MEDELLÍN,Medio,Medio,1,Alta
5002,ABEJORRAL,Medio,Medio,1,Alta
5004,ABRIAQUÍ,Medio,Medio,1,Alta
5021,ALEJANDRÍA,Bajo,Bajo,1,Alta
5030,AMAGÁ,Medio,Medio,1,Alta
5031,AMALFI,Alto,Alto,1,Alta
5034,ANDES,Medio,Medio,1,Alta
5036,ANGELÓPOLIS,Medio,Medio,1,Alta
5038,ANGOSTURA,Bajo,Bajo,1,Alta
5040,ANORÍ,Alto,Alto,1,Alta
5042,SANTA FÉ DE ANTIOQUIA,Medio,Medio,1,Alta
5044,ANZÁ,Medio,Medio,1,Alta
5045,APARTADÓ,Medio,Medio,1,Alta
5051,ARBOLETES,Bajo,Bajo,1,Alta
5055,ARGELIA,Medio,Medio,1,Alta
5059,ARMENIA,Bajo,Bajo,1,Alta
5079,BARBOSA,Medio,Medio,1,Alta
5086,BELMIRA,Alto,Alto,1,Alta
5088,BELLO,Medio,Medio,1,Alta
5091,BETANIA,Bajo,Bajo,1,Alta
5093,BETULIA,Medio,Medio,1,Alta
5101,CIUDAD BOLÍVAR,Bajo,Bajo,1,Alta
5107,BRICEÑO,Medio,Medio,1,Alta
5113,BURITICÁ,Bajo,Bajo,1,Alta
5120,CÁCERES,Medio,Medio,1,Alta
5125,CAICEDO,Bajo,Bajo,1,Alta
5129,CALDAS,Bajo,Bajo,1,Alta
5134,CAMPAMENTO,Bajo,Bajo,1,Alta
5138,CAÑASGORDAS,Bajo,Bajo,1,Alta
5142,CARACOLÍ,Medio,Medio,1,Alta
5145,CARAMANTA,Bajo,Bajo,1,Alta
5147,CAREPA,Medio,Medio,1,Alta
5148,EL CARMEN DE VIBORAL,Bajo,Bajo,1,Alta
5150,CAROLINA,Bajo,Bajo,1,Alta
5154,CAUCASIA,Alto,Alto,1,Alta
5172,CHIGORODÓ,Bajo,Bajo,1,Alta
5190,CISNEROS,Medio,Medio,1,Alta
5197,COCORNÁ,Bajo,Bajo,1,Alta
5206,CONCEPCIÓN,Bajo,Bajo,1,Alta
5209,CONCORDIA,Bajo,Bajo,1,Alta
5212,COPACABANA,Medio,Medio,1,Alta
5234,DABEIBA,Bajo,Bajo,1,Alta
5237,DONMATÍAS,Bajo,Bajo,1,Alta
5240,EBÉJICO,Bajo,Bajo,1,Alta
5250,EL BAGRE,Medio,Medio,1,Alta
5264,ENTRERRÍOS,Medio,Medio,1,Alta
5266,ENVIGADO,Bajo,Bajo,1,Alta
5282,FREDONIA,Medio,Medio,1,Alta
5284,FRONTINO,Medio,Medio,1,Alta
5306,GIRALDO,Bajo,Bajo,1,Alta
5308,GIRARDOTA,Medio,Medio,1,Alta
5310,GÓMEZ PLATA,Medio,Medio,1,Alta
5313,GRANADA,Bajo,Bajo,1,Alta
5315,GUADALUPE,Bajo,Bajo,1,Alta
5318,GUARNE,Bajo,Bajo,1,Alta
5321,GUATAPÉ,Bajo,Bajo,1,Alta
5347,HELICONIA,Bajo,Bajo,1,Alta
5353,HISPANIA,Bajo,Bajo,1,Alta
5360,ITAGÜÍ,Bajo,Bajo,1,Alta
5361,ITUANGO,Bajo,Bajo,1,Alta
5364,JARDÍN,Bajo,Bajo,1,Alta
5368,JERICÓ,Bajo,Bajo,1,Alta
