cod_mpio,municipio,departamento,focos_7d,frp_total,idx_fuego,ultima_fecha
13268,EL PEÑÓN,BOLÍVAR,107,1341.32,1.0,2026-07-19
20178,CHIRIGUANÁ,CESAR,131,1268.55,0.9923,2026-07-18
20175,CHIMICHAGUA,CESAR,72,842.14,0.9354,2026-07-17
44090,DIBULLA,LA GUAJIRA,25,797.89,0.9279,2026-07-22
44001,RIOHACHA,LA GUAJIRA,56,712.54,0.9123,2026-07-22
47555,PLATO,MAGDALENA,76,668.52,0.9034,2026-07-18
99773,CUMARIBO,VICHADA,83,638.55,0.8971,2026-07-22
54245,EL CARMEN,NORTE DE SANTANDER,22,625.28,0.8941,2026-07-18
99524,LA PRIMAVERA,VICHADA,70,553.7,0.8773,2026-07-21
54810,TIBÚ,NORTE DE SANTANDER,26,495.1,0.8618,2026-07-17
52110,BUESACO,NARIÑO,14,411.25,0.8361,2026-07-17
5250,EL BAGRE,ANTIOQUIA,21,365.71,0.8198,2026-07-18
50689,SAN MARTÍN,META,32,364.06,0.8192,2026-07-21
99001,PUERTO CARREÑO,VICHADA,29,354.84,0.8157,2026-07-21
5604,REMEDIOS,ANTIOQUIA,24,340.68,0.81,2026-07-17
20250,EL PASO,CESAR,26,334.6,0.8075,2026-07-21
50568,PUERTO GAITÁN,META,48,333.97,0.8073,2026-07-22
5002,ABEJORRAL,ANTIOQUIA,16,289.47,0.7875,2026-07-18
47551,PIVIJAY,MAGDALENA,30,238.54,0.7607,2026-07-18
20013,AGUSTÍN CODAZZI,CESAR,46,226.83,0.7537,2026-07-22
44035,ALBANIA,LA GUAJIRA,31,221.93,0.7507,2026-07-22
20045,BECERRIL,CESAR,26,211.6,0.7441,2026-07-18
20228,CURUMANÍ,CESAR,26,193.77,0.732,2026-07-18
47798,TENERIFE,MAGDALENA,20,187.82,0.7277,2026-07-18
47545,PIJIÑO DEL CARMEN,MAGDALENA,9,187.67,0.7276,2026-07-21
13549,PINILLOS,BOLÍVAR,26,170.41,0.7142,2026-07-18
47707,SANTA ANA,MAGDALENA,14,169.62,0.7136,2026-07-18
50325,MAPIRIPÁN,META,27,168.87,0.713,2026-07-22
13600,RÍO VIEJO,BOLÍVAR,18,162.49,0.7077,2026-07-19
20621,LA PAZ,CESAR,13,159.77,0.7053,2026-07-21
73001,IBAGUÉ,TOLIMA,19,157.25,0.7031,2026-07-22
13430,MAGANGUÉ,BOLÍVAR,23,155.22,0.7014,2026-07-18
20787,TAMALAMEQUE,CESAR,19,152.87,0.6993,2026-07-19
5893,YONDÓ,ANTIOQUIA,17,152.25,0.6987,2026-07-19
20400,LA JAGUA DE IBIRICO,CESAR,7,151.83,0.6983,2026-07-18
44650,SAN JUAN DEL CESAR,LA GUAJIRA,14,141.83,0.6889,2026-07-21
50350,LA MACARENA,META,17,140.02,0.6871,2026-07-21
68307,GIRÓN,SANTANDER,5,137.99,0.6851,2026-07-18
70508,OVEJAS,SUCRE,8,127.91,0.6747,2026-07-19
