cod_mpio,municipio,departamento,lat,lon,mineria_titulos,mineria_minerales,mineria_volumen,mineria_regalias,es_pdet,deforestacion_ha,agua_ica_medio,agua_estaciones,runap_areas,runap_hectareas,idx_minero,idx_deforestacion,idx_hidrico,idx_sensibilidad,riesgo_score,riesgo_nivel,hidrico_sin_dato
05001,MEDELLÍN,ANTIOQUIA,6.246631,-75.581775,34,10,4806.2,906.0,0,0,,0,3,143.3,0.6224,0.0,0.0,0.3178,0.2496,Medio,1
05002,ABEJORRAL,ANTIOQUIA,5.789315,-75.428739,7,2,6928.6,156.0,0,0,,0,2,1494.5,0.4567,0.0,0.0,0.4673,0.2066,Medio,1
05004,ABRIAQUÍ,ANTIOQUIA,6.632282,-76.064304,3,1,17583.9,2283.0,0,0,,0,3,36072.0,0.519,0.0,0.0,0.6708,0.2487,Medio,1
05021,ALEJANDRÍA,ANTIOQUIA,6.376061,-75.141346,0,0,0.0,0.0,0,0,,0,2,56.8,0.0,0.0,0.0,0.2594,0.0259,Bajo,1
05030,AMAGÁ,ANTIOQUIA,6.038708,-75.702188,41,18,1102.1,891.0,0,0,,0,0,0,0.6359,0.0,0.0,0.0,0.2226,Medio,1
05031,AMALFI,ANTIOQUIA,6.909655,-75.077501,80,15,20438.4,0.0,1,0,,0,2,372.9,0.7805,0.0,0.0,0.6287,0.336,Crítico,1
05034,ANDES,ANTIOQUIA,5.657194,-75.878828,19,9,19424.7,997.0,0,0,,0,1,2.7,0.6208,0.0,0.0,0.0836,0.2256,Medio,1
05036,ANGELÓPOLIS,ANTIOQUIA,6.109719,-75.711389,28,12,9900.6,22.0,0,0,,0,0,0,0.6185,0.0,0.0,0.0,0.2165,Medio,1
05038,ANGOSTURA,ANTIOQUIA,6.885175,-75.335116,0,0,1472.5,635.0,0,0,,0,2,31.0,0.1529,0.0,0.0,0.2216,0.0757,Bajo,1
05040,ANORÍ,ANTIOQUIA,7.074703,-75.148355,27,9,24152.4,1462.0,1,0,,0,2,5566.6,0.6681,0.0,0.0,0.8014,0.314,Alto,1
05042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,6.556484,-75.826648,8,4,20067.1,548.0,0,0,,0,1,70166.9,0.5693,0.0,0.0,0.7133,0.2706,Alto,1
05044,ANZÁ,ANTIOQUIA,6.302641,-75.854442,32,16,11873.0,1394.0,0,0,,0,0,0,0.6427,0.0,0.0,0.0,0.2249,Medio,1
05045,APARTADÓ,ANTIOQUIA,7.882968,-76.625279,6,5,3146.5,0.0,1,0,,0,4,47082.2,0.3915,0.0,0.0,0.9378,0.2308,Medio,1
05051,ARBOLETES,ANTIOQUIA,8.849317,-76.426708,4,2,0,0,0,0,,0,0,0,0.2719,0.0,0.0,0.0,0.0952,Bajo,1
05055,ARGELIA,ANTIOQUIA,5.731474,-75.14107,0,0,22092.9,650.0,0,0,,0,2,31073.9,0.5304,0.0,0.0,0.6613,0.2518,Medio,1
05059,ARMENIA,ANTIOQUIA,6.155667,-75.786647,8,4,0.0,0.0,0,0,,0,0,0,0.3712,0.0,0.0,0.0,0.1299,Bajo,1
05079,BARBOSA,ANTIOQUIA,6.439195,-75.331627,26,9,49978.6,2124.0,0,0,,0,0,0,0.7338,0.0,0.0,0.0,0.2568,Alto,1
