cod_mpio,municipio,departamento,lat,lon,mineria_titulos,mineria_minerales,mineria_volumen,mineria_regalias,es_pdet,deforestacion_ha,agua_ica_medio,agua_estaciones,runap_areas,runap_hectareas
05001,MEDELLÍN,ANTIOQUIA,6.246631,-75.581775,34,10,4806.2,906.0,0,0,,0,3,143.3
05002,ABEJORRAL,ANTIOQUIA,5.789315,-75.428739,7,2,6928.6,156.0,0,0,,0,2,1494.5
05004,ABRIAQUÍ,ANTIOQUIA,6.632282,-76.064304,3,1,17583.9,2283.0,0,0,,0,3,36072.0
05021,ALEJANDRÍA,ANTIOQUIA,6.376061,-75.141346,0,0,0.0,0.0,0,0,,0,2,56.8
05030,AMAGÁ,ANTIOQUIA,6.038708,-75.702188,41,18,1102.1,891.0,0,0,,0,0,0
05031,AMALFI,ANTIOQUIA,6.909655,-75.077501,80,15,20438.4,0.0,1,0,,0,2,372.9
05034,ANDES,ANTIOQUIA,5.657194,-75.878828,19,9,19424.7,997.0,0,0,,0,1,2.7
05036,ANGELÓPOLIS,ANTIOQUIA,6.109719,-75.711389,28,12,9900.6,22.0,0,0,,0,0,0
05038,ANGOSTURA,ANTIOQUIA,6.885175,-75.335116,0,0,1472.5,635.0,0,0,,0,2,31.0
05040,ANORÍ,ANTIOQUIA,7.074703,-75.148355,27,9,24152.4,1462.0,1,0,,0,2,5566.6
05042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,6.556484,-75.826648,8,4,20067.1,548.0,0,0,,0,1,70166.9
05044,ANZÁ,ANTIOQUIA,6.302641,-75.854442,32,16,11873.0,1394.0,0,0,,0,0,0
05045,APARTADÓ,ANTIOQUIA,7.882968,-76.625279,6,5,3146.5,0.0,1,0,,0,4,47082.2
05051,ARBOLETES,ANTIOQUIA,8.849317,-76.426708,4,2,0,0,0,0,,0,0,0
05055,ARGELIA,ANTIOQUIA,5.731474,-75.14107,0,0,22092.9,650.0,0,0,,0,2,31073.9
05059,ARMENIA,ANTIOQUIA,6.155667,-75.786647,8,4,0.0,0.0,0,0,,0,0,0
05079,BARBOSA,ANTIOQUIA,6.439195,-75.331627,26,9,49978.6,2124.0,0,0,,0,0,0
05086,BELMIRA,ANTIOQUIA,6.606319,-75.667779,48,3,10746.8,4608.0,0,0,,0,1,42557.7
05088,BELLO,ANTIOQUIA,6.333587,-75.555245,22,6,26756.8,12504.0,0,0,,0,0,0
05091,BETANIA,ANTIOQUIA,5.74615,-75.97679,0,0,0,0,0,0,,0,1,30060.7
05093,BETULIA,ANTIOQUIA,6.115208,-75.984452,32,16,0,0,0,0,,0,0,0
05101,CIUDAD BOLÍVAR,ANTIOQUIA,5.850273,-76.021509,0,0,0,0,0,0,,0,0,0
05107,BRICEÑO,ANTIOQUIA,7.112803,-75.55036,3,1,19099.2,915.0,1,0,,0,0,0
05113,BURITICÁ,ANTIOQUIA,6.720759,-75.907,19,9,9347.8,2063.0,0,0,,0,0,0
05120,CÁCERES,ANTIOQUIA,7.578366,-75.35205,46,16,8145.4,5612.0,1,0,,0,0,0
05125,CAICEDO,ANTIOQUIA,6.405607,-75.98293,0,0,4954.0,0.0,0,0,,0,2,11403.5
05129,CALDAS,ANTIOQUIA,6.091077,-75.633673,3,3,7228.8,599.0,0,0,,0,1,1621.1
05134,CAMPAMENTO,ANTIOQUIA,6.979771,-75.298091,8,4,636.8,0.0,0,0,,0,0,0
05138,CAÑASGORDAS,ANTIOQUIA,6.753859,-76.028228,0,0,9029.8,8633.0,0,0,,0,0,0
05142,CARACOLÍ,ANTIOQUIA,6.409829,-74.757421,2,1,20835.9,5008.0,0,0,,0,2,165.8
05145,CARAMANTA,ANTIOQUIA,5.54853,-75.643868,0,0,30.7,384.0,0,0,,0,0,0
05147,CAREPA,ANTIOQUIA,7.755148,-76.652652,23,7,1034.9,0.0,1,0,,0,0,0
05148,EL CARMEN DE VIBORAL,ANTIOQUIA,6.082885,-75.333901,4,2,0,0,0,0,,0,1,1.7
05150,CAROLINA,ANTIOQUIA,6.725995,-75.283192,0,0,953.2,3070.0,0,0,,0,3,107.9
05154,CAUCASIA,ANTIOQUIA,7.977278,-75.197996,49,10,9931.7,836.0,1,0,0.75,1,0,0
05172,CHIGORODÓ,ANTIOQUIA,7.666147,-76.681531,7,3,1400.0,0.0,1,0,,0,0,0
05190,CISNEROS,ANTIOQUIA,6.537829,-75.087047,8,4,26973.8,420.0,0,0,,0,0,0
05197,COCORNÁ,ANTIOQUIA,6.058295,-75.185483,5,2,529.5,995.0,0,0,,0,1,5319.9
05206,CONCEPCIÓN,ANTIOQUIA,6.394348,-75.257587,1,1,810.0,0.0,0,0,,0,1,1185.0
05209,CONCORDIA,ANTIOQUIA,6.045738,-75.908448,0,0,0,0,0,0,0.75,1,0,0
05212,COPACABANA,ANTIOQUIA,6.348557,-75.509384,20,5,5076.5,209.0,0,0,,0,2,6883.8
05234,DABEIBA,ANTIOQUIA,6.998112,-76.261614,10,4,3998.9,1199.0,1,0,,0,0,0
05237,DONMATÍAS,ANTIOQUIA,6.485603,-75.39263,17,5,7421.7,1686.0,0,0,,0,0,0
05240,EBÉJICO,ANTIOQUIA,6.325615,-75.766413,1,1,687.7,739.0,0,0,,0,0,0
05250,EL BAGRE,ANTIOQUIA,7.5975,-74.799097,23,5,1432.9,0.0,1,0,,0,0,0
05264,ENTRERRÍOS,ANTIOQUIA,6.566273,-75.517685,118,1,0,0,0,0,,0,0,0
05266,ENVIGADO,ANTIOQUIA,6.166695,-75.582192,1,1,406.0,1774.0,0,0,,0,0,0
05282,FREDONIA,ANTIOQUIA,5.928039,-75.675072,14,7,5167.8,247.0,0,0,,0,3,1242.7
05284,FRONTINO,ANTIOQUIA,6.776066,-76.130765,4,4,25925.9,3941.0,0,0,,0,2,30377.0
05306,GIRALDO,ANTIOQUIA,6.680808,-75.952158,3,1,0,0,0,0,,0,0,0
05308,GIRARDOTA,ANTIOQUIA,6.379472,-75.444238,18,7,21134.9,4043.0,0,0,,0,0,0
05310,GÓMEZ PLATA,ANTIOQUIA,6.683269,-75.220018,15,4,35375.3,3320.0,0,0,,0,7,277.4
05313,GRANADA,ANTIOQUIA,6.142892,-75.184446,1,1,0,0,0,0,,0,3,39.2
05315,GUADALUPE,ANTIOQUIA,6.815069,-75.239862,10,2,11524.3,0.0,0,0,,0,0,0
05318,GUARNE,ANTIOQUIA,6.27787,-75.441612,10,2,543.9,0.0,0,0,,0,5,12.2
05321,GUATAPÉ,ANTIOQUIA,6.232461,-75.160041,0,0,0,0,0,0,,0,6,18719.8
05347,HELICONIA,ANTIOQUIA,6.206757,-75.734322,4,3,3657.4,2775.0,0,0,,0,1,28053.9
05353,HISPANIA,ANTIOQUIA,5.799461,-75.906587,0,0,0,0,0,0,,0,1,3034.1
05360,ITAGÜÍ,ANTIOQUIA,6.175079,-75.612056,3,2,305.6,0.0,0,0,,0,1,55.6
05361,ITUANGO,ANTIOQUIA,7.171629,-75.764673,0,0,4390.0,1323.0,1,0,,0,1,355.9
05364,JARDÍN,ANTIOQUIA,5.597542,-75.818982,0,0,2370.8,0.0,0,0,,0,13,29605.8
05368,JERICÓ,ANTIOQUIA,5.789748,-75.785499,0,0,0,0,0,0,,0,2,4189.5
05376,LA CEJA,ANTIOQUIA,6.028062,-75.429433,10,3,878.1,0.0,0,0,,0,2,478.1
05380,LA ESTRELLA,ANTIOQUIA,6.145238,-75.637708,4,3,0.2,424.0,0,0,,0,1,21.5
05390,LA PINTADA,ANTIOQUIA,5.743808,-75.60781,14,5,32008.4,715.0,0,0,0.63,2,6,539.1
05400,LA UNIÓN,ANTIOQUIA,5.973845,-75.360874,16,3,1993.8,546.0,0,0,,0,4,30120.5
