cod_dane_mpio,cod_dane_dpto,nombre_mpio,nombre_dpto,tipo_unidad_territorial,n_titulos_mineros,tiene_titulos_mineros,area_titulada_union_ha,pct_area_unidad_titulada_union,area_titulada_suma_ha,anotaciones_total,n_modalidades_distintas,n_minerales_distintos,score_presion_minera,score_senal_hidrica,n_parametros_hidricos_evaluables,principal_parametro_atipico,tiene_monitoreo_agua,n_sitios_monitoreo,ultima_observacion_agua,monitoreo_reciente,brecha_monitoreo_agua,n_registros_dtd,n_coordenadas_dtd_unicas,n_nucleos_dtd,n_registros_dtd_codigo_placeholder,tiene_dtd_reciente,score_deteccion_temprana,bosque_2024_ha,no_bosque_2024_ha,pct_bosque_2024,deforestacion_2023_2024_ha,fuente_forestal,cobertura_forestal_confirmada_mvp,disponible_mineria,disponible_agua,disponible_dtd,disponible_bosque_confirmado,n_componentes_disponibles,nivel_disponibilidad_datos,score_brecha_informacion
05001,05,MEDELLÍN,ANTIOQUIA,Municipio,29,True,674.1142432571427,1.798878083066078,674.8191623087039,179,5,18,76.65,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05002,05,ABEJORRAL,ANTIOQUIA,Municipio,9,True,1621.4206036344665,3.198321958425469,1621.4206036344667,62,5,18,71.89,84.04,20.0,SULFATO,True,1,2021.0,True,False,0,0,0,0,False,42.3,,,,,,False,True,True,True,False,3,alto,25.0
05004,05,ABRIAQUÍ,ANTIOQUIA,Municipio,17,True,12010.81777649276,40.44397878289073,12010.819806270749,92,3,11,92.75,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05021,05,ALEJANDRÍA,ANTIOQUIA,Municipio,1,True,60.83734503044923,0.4721327792860192,60.83734503044923,3,1,2,35.9,,,,False,0,,False,True,2,2,0,0,True,72.37,,,,,,False,True,False,True,False,2,medio,50.0
05030,05,AMAGÁ,ANTIOQUIA,Municipio,23,True,1336.8029973101234,15.892158514598098,1818.8689766566104,153,5,27,91.13,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05031,05,AMALFI,ANTIOQUIA,Municipio,33,True,8223.622626005767,6.805684254432655,8532.893938278472,208,6,32,87.34,,,,False,0,,False,True,29,29,0,0,True,81.64,,,,,,False,True,False,True,False,2,medio,50.0
05034,05,ANDES,ANTIOQUIA,Municipio,6,True,1628.8114234376055,4.047233196477996,1628.8114234376062,41,2,24,69.5,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05036,05,ANGELÓPOLIS,ANTIOQUIA,Municipio,10,True,1112.59881331851,13.59118969835243,1112.610086582571,68,4,17,83.67,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05038,05,ANGOSTURA,ANTIOQUIA,Municipio,0,False,0.0,0.0,0.0,0,0,0,12.11,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05040,05,ANORÍ,ANTIOQUIA,Municipio,24,True,12896.087208149713,9.127020568297317,13403.356991762876,171,5,9,88.38,,,,False,0,,False,True,6,6,0,0,True,76.39,,,,,,False,True,False,True,False,2,medio,50.0
