cod_dane_mpio,nombre_mpio,nombre_dpto,score_prioridad_evidencia,nivel_prioridad,score_brecha_informacion,principales_razones,advertencias_datos,resumen_explicativo,anomaly_score_raw,anomalia_ia_percentil,es_perfil_atipico,explicacion_anomalia
05895,ZARAGOZA,ANTIOQUIA,92.7,Muy alta,50.0,44.7% del territorio titulado (64 títulos mineros); sin monitoreo hídrico evaluable; 42 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad muy alta (percentil 100): 44.7% del territorio titulado (64 títulos mineros); sin monitoreo hídrico evaluable; 42 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.6433656017907022,97.86,True,Perfil atípico por: pct_area_unidad_titulada_union (z=+4.1); log1p_n_registros_dtd (z=+2.6)
05736,SEGOVIA,ANTIOQUIA,92.2,Muy alta,50.0,32.0% del territorio titulado (69 títulos mineros); sin monitoreo hídrico evaluable; 67 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad muy alta (percentil 100): 32.0% del territorio titulado (69 títulos mineros); sin monitoreo hídrico evaluable; 67 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.6337383120955371,97.33,True,Perfil atípico por: log1p_n_registros_dtd (z=+3.0); pct_area_unidad_titulada_union (z=+2.8)
23466,MONTELÍBANO,CÓRDOBA,91.47,Muy alta,25.0,22.3% del territorio titulado (38 títulos mineros); anomalía hídrica en NITROGENO TOTAL (percentil 95); 30 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación),Prioridad muy alta (percentil 100): 22.3% del territorio titulado (38 títulos mineros); anomalía hídrica en NITROGENO TOTAL (percentil 95); 30 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.6577645176407924,98.66,True,Perfil atípico por: n_parametros_hidricos_evaluables (z=+2.5); disponible_agua (z=+2.4)
05604,REMEDIOS,ANTIOQUIA,91.41,Muy alta,50.0,22.2% del territorio titulado (128 títulos mineros); sin monitoreo hídrico evaluable; 69 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad muy alta (percentil 100): 22.2% del territorio titulado (128 títulos mineros); sin monitoreo hídrico evaluable; 69 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.6376109228436248,97.5,True,Perfil atípico por: log1p_n_titulos_mineros (z=+3.0); log1p_n_registros_dtd (z=+3.0)
13458,MONTECRISTO,BOLÍVAR,91.18,Muy alta,50.0,23.1% del territorio titulado (55 títulos mineros); sin monitoreo hídrico evaluable; 57 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad muy alta (percentil 100): 23.1% del territorio titulado (55 títulos mineros); sin monitoreo hídrico evaluable; 57 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.5954916180073524,92.34,True,Perfil atípico por: log1p_n_registros_dtd (z=+2.8); log1p_n_titulos_mineros (z=+2.3)
13688,SANTA ROSA DEL SUR,BOLÍVAR,91.15,Muy alta,50.0,23.0% del territorio titulado (44 títulos mineros); sin monitoreo hídrico evaluable; 188 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad muy alta (percentil 100): 23.0% del territorio titulado (44 títulos mineros); sin monitoreo hídrico evaluable; 188 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.624733408647275,96.61,True,Perfil atípico por: log1p_n_registros_dtd (z=+3.8); log1p_n_titulos_mineros (z=+2.1)
05284,FRONTINO,ANTIOQUIA,91.05,Muy alta,50.0,34.4% del territorio titulado (30 títulos mineros); sin monitoreo hídrico evaluable; 58 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad muy alta (percentil 99): 34.4% del territorio titulado (30 títulos mineros); sin monitoreo hídrico evaluable; 58 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.599169773747729,92.69,True,Perfil atípico por: pct_area_unidad_titulada_union (z=+3.0); log1p_n_registros_dtd (z=+2.8)
15531,PAUNA,BOYACÁ,90.82,Muy alta,25.0,28.0% del territorio titulado (30 títulos mineros); anomalía hídrica en SOLIDOS SUSPENDIDOS TOTALES (percentil 100); 3 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación),Prioridad muy alta (percentil 99): 28.0% del territorio titulado (30 títulos mineros); anomalía hídrica en SOLIDOS SUSPENDIDOS TOTALES (percentil 100); 3 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.6592251704423464,98.75,True,Perfil atípico por: score_senal_hidrica (z=+2.8); n_parametros_hidricos_evaluables (z=+2.7)
54720,SARDINATA,NORTE DE SANTANDER,90.07,Muy alta,50.0,16.3% del territorio titulado (53 títulos mineros); sin monitoreo hídrico evaluable; 74 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad muy alta (percentil 99): 16.3% del territorio titulado (53 títulos mineros); sin monitoreo hídrico evaluable; 74 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.5959701041503678,92.42,True,Perfil atípico por: log1p_n_registros_dtd (z=+3.0); log1p_n_titulos_mineros (z=+2.2)
13490,NOROSÍ,BOLÍVAR,89.74,Muy alta,50.0,49.2% del territorio titulado (34 títulos mineros); sin monitoreo hídrico evaluable; 8 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad muy alta (percentil 99): 49.2% del territorio titulado (34 títulos mineros); sin monitoreo hídrico evaluable; 8 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.602230364149114,93.76,True,Perfil atípico por: pct_area_unidad_titulada_union (z=+4.5); log1p_n_titulos_mineros (z=+1.9)
