categoria,lat,ica6,ica5,areaoperativa,clase,fechamuestra,lon,nombre,estacionid
,4.67793861,0.34,0.35,,,2004,-74.17644131,DESCARGA NAVARRA_CAM,7804
,5.37972222,,0.85,,,2003,-73.59527778,ABREVADERO 1_CAM,8333
,5.39027778,,0.89,,,2003,-73.59055556,ABREVADERO 2_CAM,8334
,5.3925,,0.86,,,2003,-73.59,ABREVADERO 3_CAM,8335
,5.20102778,,0.79,,,2008,-74.02311111,ANTES BOCATOMA ACUEDUCTO ZUCUNETA PLANTA DE TRATAMIENTO_CAM,8376
,4.72444444,,0.865,,,2004,-73.95111111,ANTES DE VERTIMIENTOS LA CALERA_CAM,8380
,2.75736111,,0.55,,,2016,-76.7075,ANTES EMBALSE SALVAJINA_CAM,8393
,2.45130556,0.62,0.67,,,2007,-76.52966667,ANTES MCPIO POPAYAN_CAM,8398
,4.12461111,0.61,0.67,,,2007,-76.269,ANTES MCPIO TULUA_CAM,8400
,8.31,0.54,0.63,,,2007,-73.755,ANTES MCPIO GAMARRA_CAM,8403
,5.00416667,0.73,0.81,,,2003,-73.43388889,ANTES QDA EL MANGLE_CAM,8413
,6.08388889,0.64,0.75,,,2007,-75.85583333,ANTES RIO AMAGA_CAM,8418
,3.49258333,0.59,0.68,,,2007,-76.48322222,ANTES RIO CALI_CAM,8423
,6.77652778,0.69,0.8,,,2007,-74.13319444,ANTES RIO CARARE_CAM,8424
,6.03380556,0.67,0.78,,,2007,-74.57741667,ANTES RIO COCORNA_CAM,8430
,1.86555556,0.82,0.91,,,2007,-76.18194444,ANTES RIO GUARAPAS_CAM,8433
,8.13269444,0.6,0.69,,,2007,-73.79388889,ANTES RIO LEBRIJA_CAM,8437
,3.11097222,0.77,0.85,,,2007,-76.53891667,ANTES RIO QUINAMAYO_CAM,8449
,5.35772222,,0.78,,,2008,-73.89466667,BETANIA AGUAS ABAJO MINA EL TRIANGULO_CAM,8471
,4.63736111,0.36,0.37,,,2004,-73.90733333,CANAL TORCA 13_CAM,8513
,8.16055556,0.62,0.72,,,2007,-74.78111111,CORANTIOQUIA ENTREGA A CSB - CAUCA_CAM,8532
,5.73388889,0.57,0.67,,,2007,-75.59916667,CORPOCALDAS ENTREGA A CORANTIOQUIA_CAM,8534
,6.04236111,0.81,0.9,,,2007,-74.57769444,DESEMBOCADURA RIO COCORNA_CAM,8560
,8.13111111,,0.7,,,2016,-73.77305556,DESEMBOCADURA RIO LEBRIJA_CAM,8569
,8.13111111,0.66,0.73,,,2015,-73.77305556,DESEMBOCADURA RIO LEBRIJA_CAM,8569
,8.13111111,0.64,0.74,,,2013,-73.77305556,DESEMBOCADURA RIO LEBRIJA_CAM,8569
,8.13111111,0.59,0.65,,,2007,-73.77305556,DESEMBOCADURA RIO LEBRIJA_CAM,8569
,8.09763889,,0.78,,,2016,-74.76472222,DESEMBOCADURA RIO NECHI_CAM,8574
,5.27502778,0.63,0.73,,,2007,-75.66538889,DESEMBOCADURA RIO TAPIAS_CAM,8588
,5.79583333,0.51,0.59,,,2007,-75.6525,DESPUES MCIPIO LA PINTADA_CAM,8604
,4.95730556,,0.51,,,2010,-71.82866667,SALIDA SISTEMA DE TRATAMIENTO ELECTRIFICADORA OROCUE_CAM,8606
,4.95716667,,0.81,,,2010,-71.82822222,50M AGUAS ABAJO VERTIMIENTO ELECTRIFICADORA OROCUE_CAM,8607
,4.95708333,,0.83,,,2010,-71.82538889,400M AGUAS ABAJO VERTIMIENTO ELECTRIFICADORA OROCUE_CAM,8608
,4.95847222,,0.86,,,2010,-71.83025,400M AGUAS ARRIBA VERTIMIENTO ELECTRIFICADORA OROCUE_CAM,8609
,8.02083333,0.64,0.75,,,2007,-75.15847222,DESPUES MCPIO CAUCASIA_CAM,8615
,8.98527778,0.76,0.75,,,2007,-73.97722222,DESPUES MCPIO EL BANCO_CAM,8618
,4.26888889,,0.31,,,2016,-74.85647222,DESPUES MCPIO GIRARDOT_CAM,8620
,4.26888889,0.53,0.49,,,2015,-74.85647222,DESPUES MCPIO GIRARDOT_CAM,8620
,4.26888889,0.67,0.78,,,2007,-74.85647222,DESPUES MCPIO GIRARDOT_CAM,8620
,9.26638889,0.56,0.61,,,2007,-74.72916667,DESPUES MCPIO MAGANGUE_CAM,8622
,1.91983333,0.82,0.92,,,2007,-76.42233333,DESPUES NACIMIENTO MAGDALENA_CAM,8629
,3.00261111,0.77,0.85,,,2007,-76.68125,DESPUES RIO OVEJAS_CAM,8664
,5.96111111,0.6,0.69,,,2007,-75.84638889,DESPUES RIO SAN JUAN_CAM,8672
,5.38,,0.81,,,2003,-73.60027778,NACIMIENTO - Q LA COLORADA_CAM,8754
,4.62171761,0.91,0.93,,,2003,-74.05172944,PARQUE NACIONAL - ARZOBISPO_CAM,8762
,4.62171761,0.72,0.79,,,2002,-74.05172944,PARQUE NACIONAL - ARZOBISPO_CAM,8762
,5.01333333,0.75,0.74,,,2003,-73.43972222,PTE CARRETERA - Q ALTO DE LA AREPA_CAM,8786
,5.00361111,0.78,0.82,,,2003,-73.43277778,PTE CONCRETO - Q MANGLE_CAM,8796
,4.63986111,0.64,0.7,,,2002,-74.05447222,QDA DELICIAS LAS - BOGOTA D.C._CAM,8839
,5.00555556,0.67,0.75,,,2003,-73.43138889,SALITRE EL - SUNUBA_CAM,8871
,3.11755556,,0.84,,,2016,-76.62397222,DESEMBOCADURA RIO TIMBA_CAM,19668
,3.11755556,0.84,0.94,,,2013,-76.62397222,DESEMBOCADURA RIO TIMBA_CAM,19668
,3.11755556,0.61,0.71,,,2011,-76.62397222,DESEMBOCADURA RIO TIMBA_CAM,19668
,4.28852778,0.44,0.51,,,2011,-74.89402778,DESEMBOCADURA RIO COELLO_CAM,19673
,2.46172222,0.49,0.57,,,2011,-75.57036111,DESEMBOCADURA RIO PAEZ_CAM,19676
,4.35111111,,0.81,,,2011,-72.91225,100 M AGUAS ABAJO VERTIMIENTO CAMPO DE PRODUCCION PETROLERA CORCEL_CAM,26271
,5.13916667,,0.69,,,2004,-73.69861111,CHOCONTA-DESPUES DE VERTIMIENTOS_CAM,26515
,4.72472222,,0.93,,,2004,-73.95055556,DESPUES DE VERTIMIENTOS LA CALERA_CAM,26788
,4.67583333,0.6,0.57,,,2002,-74.17333333,DIRECTA - BOGOTA - ESTACION ELEVADORA_CAM,26801
,4.73905556,0.36,0.38,,,2004,-74.12983333,PTAR EL SALITRE_CAM,27208
,11.03308333,,0.73,,,2006,-72.70872222,ABAJO BOCATOMA [15067160]_CAM,27410
,1.57416667,0.675,0.765,,,2015,-77.44269444,AGROYACO [52057030]_CAM,27413
,1.57416667,0.75,0.83,,,2014,-77.44269444,AGROYACO [52057030]_CAM,27413
,1.57416667,0.4,0.46,,,2010,-77.44269444,AGROYACO [52057030]_CAM,27413
,1.57416667,,0.63,,,2008,-77.44269444,AGROYACO [52057030]_CAM,27413
,7.38333333,,0.59,,,2005,-72.68333333,PAMPLONA [16010300]_CAM,27568
,4.51666667,,0.5,,,2003,-74.25,PTE CANOAS [21208290]_CAM,27608
,2.18930556,0.82,0.86,,,2013,-76.48180556,LOMITAS [26017070]_CAM,27613
,4.07019444,0.52,0.6,,,2017,-73.7625,PTE CTERA - GUAYURIBA [35027140]_CAM,27625
,4.98458333,,0.67,,,2003,-73.46263889,PTE FIERRO [35077080]_CAM,27632
,6.14338889,0.81,0.9,,,2015,-75.37997222,PTE REAL [23087150]_CAM,27645
,6.14338889,0.765,0.82,,,2014,-75.37997222,PTE REAL [23087150]_CAM,27645
,4.70427778,,0.83,,,2005,-73.47775,BOCA LA [35067090]_CAM,27666
,5.98527778,,0.42,,,2005,-74.58805556,PTO PERALES [23077030]_CAM,27709
,11.22222222,,0.7,,,2005,-82.17991667,PTO TEXAS [35177020]_CAM,27712
,0.84416667,0.595,0.67,,,2017,-77.68588889,CARLOSAMA [52057040]_CAM,27729
,0.84416667,0.61,0.71,,,2016,-77.68588889,CARLOSAMA [52057040]_CAM,27729
,0.84416667,0.63,0.73,,,2015,-77.68588889,CARLOSAMA [52057040]_CAM,27729
,4.69288889,,0.86,,,2005,-73.56169444,ESTACION LA [35217020]_CAM,27848
,4.69288889,,0.58,,,2004,-73.56169444,ESTACION LA [35217020]_CAM,27848
,4.86022222,0.72,0.8,,,2012,-75.37463889,SIETECUERALES [26157200]_CAM,27854
,5.53333333,,-1.29,,,2003,-72.88333333,STA INES [35097260]_CAM,27864
,1.905,0.83,0.92,,,2013,-76.40111111,MAGDALENA LA [21017060]_CAM,27921
,4.11666667,,0.76,,,2005,-73.28333333,MURUJUY [35037140]_CAM,27925
,4.48505556,,0.96,,,2005,-74.03022222,LLANO LARGO [35027220]_CAM,27946
,11.03333333,0.685,0.8,,,2015,-74.81666667,FLORES LAS [29047020]_CAM,29877
,11.03333333,0.6,0.7,,,2013,-74.81666667,FLORES LAS [29047020]_CAM,29877
,11.03333333,0.56,0.65,,,2012,-74.81666667,FLORES LAS [29047020]_CAM,29877
,11.03333333,0.52,0.61,,,2011,-74.81666667,FLORES LAS [29047020]_CAM,29877
,11.03333333,0.55,0.64,,,2010,-74.81666667,FLORES LAS [29047020]_CAM,29877
