ORIGEN;IDIGER;;;;;;;;;;;;;;;;
FECHA CORTE ;jun-25;;;;;;;;;;;;;;;;
Numero de estaciones ;;Tipo ;Estación ;Codigo CNE;Latitud;Longitud;Elevacion;Entidad ;Localidad;Estado informacion en tiempo real ;Fecha de instalacion ;Inicio serio de datos precipitacion;Fecha inicio de datos temperatura y humedad;Fecha inicio de datos Viento;Fecha inicio de datos Presion Barometrica;Fecha inicio de datos nivel;Observaciones
1;; PM;Estación Altos De La Estancia ;2120000101;458.074;-7.417.828;2960;IDIGER;CIUDAD BOLIVAR;Activa;sep-16;17/09/2016;;;;;
2;;HMT - SIN PM;Estación Canal Córdoba;2120700210;4.721.346;-74.060.443;2578;IDIGER;SUBA;Activa;nov-20;;Inicio 2023;;;14/11/2020;
3;; HMT;Estación Casas Fiscales Artillería ;2120700037;4.556.439;-74.125.173;2567;IDIGER;TUNJUELITO;Activa;sep-14;24/09/2015;24/09/2015;;;24/09/2015;
4;; CO;Estación Cerro Cazadores  ;21206890;466.577;-7.402.861;3182;IDIGER;CHAPINERO;Activa;sep-07;15/09/2007;8/05/2010;2023;;;
5;;CO;Estación Cerro Norte;2120000103;473.254;-7.401.871;2766;IDIGER;USAQUEN;Activa;nov-11;26/11/2011;Inicio 2023;;;;
6;;HMT;Estación Chicu Río Bogotá  ;2120700156;475.371;-7.412.566;2564;IDIGER;SUBA;Activa;sep-18;1/03/2023;Inicio 2023;2023;;23/09/2018;
7;;CO;Estación Colegio 21 Ángeles (IED) ;2120000099;4.749.234;-7.408.073;2614;IDIGER;SUBA;Activa;feb-15;29/09/2015;Inicio 2023;;;;
8;;CO;Estación Colegio Agustín Fernández (IED)  ;2120000171;472.911;-7.402.383;2612;IDIGER;USAQUEN;Activa solo para lluvias;nov-19;6/11/2019;Inicio 2023;;;;
9;;CO;Estación Colegio Alberto Lleras Camargo (IED)  ;2120000118;4.743.304;-74.102.293;2556;IDIGER;SUBA;Activa;dic-16;8/12/2016;Inicio 2023;2023;;;
10;;CO;Estación Colegio Alemania Unificada (IED)  ;2120000119;4.555.765;-7.409.667;2741;IDIGER;SAN CRISTOBAL;Activa;ene-10;26/01/2010;Inicio 2023;;;;
11;; PM;Estación Colegio Antonio García (IED)  ;2120000131;4.545;-7.413.944;2602;IDIGER;CIUDAD BOLIVAR;Activa;sep-18;25/09/2018;;;;;
12;; PM;Estación Colegio Carlo Federici  (IED)  ;2120000173;467.168;-7.415.894;2577;IDIGER;FONTIBON;Activa;dic-19;12/12/2019;;;;;
13;; CO;Estación Colegio Carlos Pizarro (IED) ;2120000142;463.537;-7.420.541;2544;IDIGER;BOSA;Activa;oct-14;26/09/2015;26/09/2015;;;;
14;;CO;Estación Colegio Ciudad De Villavicencio (IED)  ;2120000126;448.706;-7.410.213;2923;IDIGER;USME;Activa;sep-18;14/09/2018;Inicio 2023;;;;
15;; PM;Estación Colegio Eduardo Umaña (IED)  ;2120000127;448.997;-7.411.308;2923;IDIGER;USME;Activa;sep-18;8/03/2019;;;;;
16;;CO;Estación Colegio El Manantial (IED)  ;2120000133;456.144;-7.407.482;2877;IDIGER;SAN CRISTOBAL;Activa;sep-18;28/09/2018;17/12/2020;2020;2020;;
17;;CO;Estación Colegio El Tesoro De La Cumbre Sede C (IED)  ;2120000132;453.531;-7.414.909;2816;IDIGER;CIUDAD BOLIVAR;Activa;sep-18;26/09/2018;Inicio 2023;;;;
18;; PM;Estación Colegio Francisco Primero S.S. (IED) ;2120000100;4.652.389;-74.075.434;2556;IDIGER;BARRIOS UNIDOS;Activa;oct-15;31/10/2015;;;;;
19;;CO;Estación Colegio Friedrich Naumann (IED)  ;2120000137;474.943;-7.402.285;2601;IDIGER;USAQUEN;Activa;oct-18;4/10/2018;Inicio 2023;;;;
20;;CO;Estación Colegio Gabriel Garcia Márquez (IED)  ;2120000128;450.449;-7.409.235;3055;IDIGER;USME;Activa;sep-18;20/09/2018;Inicio 2023;2023;;;
21;; PM;Estación Colegio Gustavo Morales Morales (IED)  ;2120000120;4.716.619;-74.064.401;2553;IDIGER;SUBA;Activa;nov-16;11/11/2016;;;;;
22;; PM;Estación Colegio Gustavo Restrepo (IED)  ;2120000121;4.575.873;-74.106.178;2578;IDIGER;RAFAEL URIBE;Activa;nov-16;8/07/2020;;;;;
23;;CO;Estación Colegio Inem Francisco De Paula Santander (IED)  ;2120000122;4.624.567;-74.154.993;2557;IDIGER;KENNEDY;Activa;nov-16;30/11/2016;;;;;
24;;CO;Estación Colegio La Belleza (IED)  ;2120000169;453.059;-7.409.244;2949;IDIGER;SAN CRISTOBAL;Activa;sep-19;28/09/2019;Inicio 2023;;;;
25;;CO;Estación Colegio La Chucua (IED)  ;2120000123;460.356;-74.148.507;2562;IDIGER;KENNEDY;Activa;nov-16;1/01/2016;Inicio 2023;;;;
26;;CO;Estación Colegio La Felicidad  (IED)  ;2120000175;4.656;-7.413.111;2584;IDIGER;FONTIBON;Activa;dic-19;24/12/2019;Inicio 2023;;;;
27;;CO;Estación Colegio Los Alpes (IED)  ;2120000134;455.257;-7.408.373;2875;IDIGER;SAN CRISTOBAL;Activa;nov-18;27/09/2018;Inicio 2023;2023;;;
28;; PM;Estación Colegio Los Pinos (IED)  ;2120000136;458.781;-7.406.813;2779;IDIGER;SANTA FE;Retirada;oct-18;3/10/2018;;;;;
29;;CO;Estación Colegio Magdalena Ortega De Nariño  (IED)  ;2120000174;468.664;-7.408.296;2585;IDIGER;ENGATIVA;Activa;dic-19;14/12/2019;Inicio 2023;;;;
30;;CO;Estación Colegio Manuel Elkin Patarroyo (IED)  ;2120000135;461.823;-7.406.439;2672;IDIGER;SANTA FE;Activa;oct-18;9/10/2018;Inicio 2023;;;;
31;; PM;Estación Colegio Moralba Suroriental (IED)   ;2120000117;454.294;-7.408.031;2971;IDIGER;SAN CRISTOBAL;Activa;abr-08;6/05/2010;;;;;
32;; PM;Estación Colegio Nueva Zelandia (IED)  ;2120000138;476.587;-7.404.681;2561;IDIGER;SUBA;Activa;oct-18;9/10/2018;;;;;
33;;CO;Estación Colegio Ofelia Uribe (IED)  ;2120000129;450.643;-7.410.251;2815;IDIGER;USME;Activa;sep-18;15/09/2018;Inicio 2023;;;;
34;;CO;Estación Colegio Paulo Freire (IED)  ;2120000130;45.328;-7.411.684;2605;IDIGER;USME;Activa;sep-18;14/09/2018;Inicio 2023;2023;;;
35;; PM;Estación Colegio Rafael Uribe Uribe (IED)  ;2120000124;4.583.176;-74.132.461;2564;IDIGER;TUNJUELITO;Activa;dic-16;1/01/2016;;;;;
36;;CO;Estación Colegio Rodolfo Llinás (IED) ;2120000109;4.720.124;-74.108.288;2554;IDIGER;ENGATIVA;Activa;feb-15;29/09/2015;Inicio 2023;2023;;;
37;; CO;Estación Colegio Sierra Morena Sede A (IED)  ;2120500202;457.455;-7.417.014;2783;IDIGER;CIUDAD BOLIVAR;Activa;oct-00;19/10/2000;2/09/2010;;;;
38;;CO;Estación Colegio Simón Rodríguez Sede C (IED)  ;2120000170;46.405;-7.405.435;2702;IDIGER;CHAPINERO;Activa;oct-19;29/10/2019;Inicio 2023;;;;
39;; PM;Estación Colegio Sorrento (Sede B San Rafael) (IED)  ;2120000125;4.619.586;-7.411.322;2561;IDIGER;PUENTE ARANDA;Activa;nov-16;29/11/2016;;;;;
40;;CO;Estación Colegio Unión Colombia Sede A (IED)  ;2120000172;475.947;-7.402.752;2600;IDIGER;USAQUEN;Activa;nov-19;7/11/2019;16/12/2020;2020;2020;;
41;; CO;Estación COLMAC ;2120000104;481.326;-7.403.146;2575;IDIGER;USAQUEN;Suspendida;nov-11;25/11/2011;29/09/2015;;;;
42;; CO;Estación Doña Juana ;21202250;450.082;-7.413.739;2831;IDIGER;CIUDAD BOLIVAR;Activa;oct-00;19/10/2000;5/10/2010;2023;;;
43;; CO;Estación El Codito ;2120000105;4.763.457;-74.021.772;2730;IDIGER;USAQUEN;Activa;nov-11;26/11/2011;29/09/2015;;;;
