No_Bosque,Año,Defores,Bosque,MPIO_NAREA,DPTO_CNMBR,MPIO_CNMBR
583805,2021,3702,3219177,65597.2505592,VICHADA,CUMARIBO
526898,2021,193,6580980,15970.1985916,GUAINÍA,INÍRIDA
526898,2021,233,6580980,14402.4368987,GUAINÍA,BARRANCOMINAS
526898,2021,14,6580980,2926.36512469,GUAINÍA,SAN FELIPE
526898,2021,232,6580980,15700.7128072,GUAINÍA,PUERTO COLOMBIA
526898,2021,3,6580980,1178.87070146,GUAINÍA,LA GUADALUPE
526898,2021,20,6580980,2335.32470523,GUAINÍA,CACAHUAL
526898,2021,89,6580980,10227.1469655,GUAINÍA,PANA PANA
526898,2021,123,6580980,8548.29888821,GUAINÍA,MORICHAL
1261111,2021,1000,1795173,2280.62999026,META,MESETAS
1261111,2021,6004,1795173,6460.95748467,META,URIBE
1261111,2021,182,1795173,1242.93551686,META,PUERTO CONCORDIA
1261111,2021,2907,1795173,3428.13356997,META,PUERTO RICO
1261111,2021,103,1795173,1169.10460006,META,SAN JUAN DE ARAMA
1261111,2021,4680,1795173,4819.21315393,META,VISTAHERMOSA
1261111,2021,11983,1795173,8118.66951808,META,LA MACARENA
1261111,2021,10623,1795173,11949.1658309,META,MAPIRIPÁN
1261111,2021,114,1795173,17249.9672509,META,PUERTO GAITÁN
888899,2021,11325,4665227,16757.0657353,GUAVIARE,SAN JOSÉ DEL GUAVIARE
888899,2021,6755,4665227,13069.5857517,GUAVIARE,CALAMAR
888899,2021,5130,4665227,12909.1202766,GUAVIARE,EL RETORNO
888899,2021,1857,4665227,12808.0770572,GUAVIARE,MIRAFLORES
2818444,2021,208,6461145,2547.63753229,CAQUETÁ,FLORENCIA
2818444,2021,61,6461145,1191.61936621,CAQUETÁ,BELÉN DE LOS ANDAQUÍES
2818444,2021,40,6461145,1106.0761511,CAQUETÁ,EL DONCELLO
2818444,2021,64,6461145,1234.73414492,CAQUETÁ,EL PAUJÍL
2818444,2021,361,6461145,1701.06142971,CAQUETÁ,LA MONTAÑITA
2818444,2021,60,6461145,1220.57599924,CAQUETÁ,MILÁN
