Nombre,Área_Oficial__Ha_,centroid_x,centroid_y,Categoría,Territorial
Cueva de los Guácharos,7132.94435303,-76.1277902,1.58503648,Parque Nacional Natural,Territorial Andes Occidentales
Nukak,874890.50794197,-71.50590327,1.93780046,Reserva Natural,Territorial Amazonia
Dinaboy,212.24697519,-76.70893997,3.74545043,Reserva Natural de la Sociedad Civil, 
Los Nevados,61410.53407827,-75.38247057,4.76957151,Parque Nacional Natural,Territorial Andes Occidentales
Las Bromelias,9.21228459,-76.64144045,2.41382272,Reserva Natural de la Sociedad Civil, 
Villa Paz,36.41784741,-73.95276452,4.54268401,Reserva Natural de la Sociedad Civil, 
La Gaviota,10.94759343,-75.1337751,5.38242806,Reserva Natural de la Sociedad Civil, 
Los Estoraques,1051.50502957,-73.25332889,8.23627343,Área Natural Única,Territorial Andes Nororientales
Buenos Aires,132.65469477,-76.16808173,3.66330085,Reserva Natural de la Sociedad Civil, 
El Garcero,374.47184159,-74.10524195,9.01290264,Reserva Natural de la Sociedad Civil, 
Chicaque,194.80282897,-74.31158765,4.61345443,Reserva Natural de la Sociedad Civil, 
Pescador de Flores,1.22695828,-76.55456682,2.79998032,Reserva Natural de la Sociedad Civil, 
Alto Fragua - Indi Wasi,76080.81435063,-76.0983842,1.42301272,Parque Nacional Natural,Territorial Amazonia
Tayrona,19309.39640326,-74.06265899,11.31580023,Parque Nacional Natural,Territorial Caribe
Amacayacu,267240.60311543,-70.14421133,-3.43952329,Parque Nacional Natural,Territorial Amazonia
El Trébol,39.98299933,-76.15967089,2.13792118,Reserva Natural de la Sociedad Civil, 
Sanguare,917.95089613,-75.67622669,9.71615079,Reserva Natural de la Sociedad Civil, 
Uramba Bahía Málaga,46887.95776919,-77.41715406,3.95734468,Parque Nacional Natural,Territorial Pacifico
La Fortaleza,2.69915966,-76.48457641,2.46158972,Reserva Natural de la Sociedad Civil, 
La Aurora,8.03535384,-76.51061098,2.44714539,Reserva Natural de la Sociedad Civil, 
Recuerdo,26.20901331,-76.43466819,2.43233015,Reserva Natural de la Sociedad Civil, 
Las Piedras,1.28704389,-76.5141067,2.44923905,Reserva Natural de la Sociedad Civil, 
Isla de Salamanca,56565.1433036,-74.58959378,11.01902586,Vía Parque,Territorial Caribe
El Carmen,3.41825573,-76.49861415,2.44419315,Reserva Natural de la Sociedad Civil, 
Bosques De Chipaque,113.73021279,-74.09071046,4.42740558,Reserva Natural de la Sociedad Civil, 
Cahuinarí,556569.94225388,-71.12070002,-1.42908699,Parque Nacional Natural,Territorial Amazonia
Santa Martha,16.15392943,-76.43919335,2.41990621,Reserva Natural de la Sociedad Civil, 
La Esperanza,146.73946401,-73.84135252,4.60542391,Reserva Natural de la Sociedad Civil, 
Catatumbo Barí,160657.64036752,-73.16851415,9.01831294,Parque Nacional Natural,Territorial Andes Nororientales
Tinigua,207793.50304209,-74.14277019,2.48664838,Parque Nacional Natural,Territorial Orinoquia
Las Veraneras,7.79882354,-76.43984683,2.43337378,Reserva Natural de la Sociedad Civil, 
Chingaza,77156.54835907,-73.65766416,4.54372538,Parque Nacional Natural,Territorial Orinoquia
Parcela 6 de la Parcelación La Josefina,11.30644121,-76.56326954,2.23826221,Reserva Natural de la Sociedad Civil, 
Yaigojé Apaporis,1054300.4454702,-70.25962642,-0.65770817,Parque Nacional Natural,Territorial Amazonia
Parcela No. 3 de La Parcelación Campo Bello,7.32903826,-76.53544519,2.22808599,Reserva Natural de la Sociedad Civil, 
Puinawai,1100091.3804547,-69.17448547,2.28838268,Reserva Natural,Territorial Amazonia
La Serranía de Chiribiquete,4266168.7076929,-73.01890184,0.79350619,Parque Nacional Natural,Territorial Amazonia
Parcela N. 6 La Cuchilla de la Parcelación Las Brisas,4.09880068,-76.5566719,2.25010019,Reserva Natural de la Sociedad Civil, 
Ciénaga Grande de Santa Marta,27018.7346081,-74.48915727,10.71114812,Santuario de Fauna y Flora,Territorial Caribe
La Vega,3.25042845,-76.34768927,1.84864185,Reserva Natural de la Sociedad Civil, 
Parcela N. 7 de la Parcelación La Josefina,13.64339984,-76.56542434,2.23685947,Reserva Natural de la Sociedad Civil, 
Parcela N. 13 de la Parcelación Las Brisas,5.02667301,-76.56326951,2.24751742,Reserva Natural de la Sociedad Civil, 
El Corchal El Mono Hernández,3898.74843126,-75.54261091,10.03200138,Santuario de Fauna y Flora,Territorial Caribe
Los Corales del Rosario y de San Bernardo,123482.52592848,-75.7906469,9.96630247,Parque Nacional Natural,Territorial Caribe
Parcela N. 14 Parcelación Las Brisas,4.20912807,-76.56270932,2.24924982,Reserva Natural de la Sociedad Civil, 
Parcela N.18 Bosque Bajo Parcelación Las Brisas,4.01997011,-76.56031315,2.2450134,Reserva Natural de la Sociedad Civil, 
La Palma de La Castellana,20.03509032,-76.33170596,1.77235918,Reserva Natural de la Sociedad Civil, 
