cod_mpio,longitud,tipo_municipio,nom_mpio,cod_dpto,dpto,latitud
05001,"-75,581775",Municipio,MEDELLÍN,05,ANTIOQUIA,"6,246631"
05002,"-75,428739",Municipio,ABEJORRAL,05,ANTIOQUIA,"5,789315"
05004,"-76,064304",Municipio,ABRIAQUÍ,05,ANTIOQUIA,"6,632282"
05021,"-75,141346",Municipio,ALEJANDRÍA,05,ANTIOQUIA,"6,376061"
05030,"-75,702188",Municipio,AMAGÁ,05,ANTIOQUIA,"6,038708"
05031,"-75,077501",Municipio,AMALFI,05,ANTIOQUIA,"6,909655"
05034,"-75,878828",Municipio,ANDES,05,ANTIOQUIA,"5,657194"
05036,"-75,711389",Municipio,ANGELÓPOLIS,05,ANTIOQUIA,"6,109719"
05038,"-75,335116",Municipio,ANGOSTURA,05,ANTIOQUIA,"6,885175"
05040,"-75,148355",Municipio,ANORÍ,05,ANTIOQUIA,"7,074703"
05042,"-75,826648",Municipio,SANTA FÉ DE ANTIOQUIA,05,ANTIOQUIA,"6,556484"
05044,"-75,854442",Municipio,ANZÁ,05,ANTIOQUIA,"6,302641"
05045,"-76,625279",Municipio,APARTADÓ,05,ANTIOQUIA,"7,882968"
05051,"-76,426708",Municipio,ARBOLETES,05,ANTIOQUIA,"8,849317"
05055,"-75,14107",Municipio,ARGELIA,05,ANTIOQUIA,"5,731474"
05059,"-75,786647",Municipio,ARMENIA,05,ANTIOQUIA,"6,155667"
05079,"-75,331627",Municipio,BARBOSA,05,ANTIOQUIA,"6,439195"
05086,"-75,667779",Municipio,BELMIRA,05,ANTIOQUIA,"6,606319"
05088,"-75,555245",Municipio,BELLO,05,ANTIOQUIA,"6,333587"
05091,"-75,97679",Municipio,BETANIA,05,ANTIOQUIA,"5,74615"
05093,"-75,984452",Municipio,BETULIA,05,ANTIOQUIA,"6,115208"
05101,"-76,021509",Municipio,CIUDAD BOLÍVAR,05,ANTIOQUIA,"5,850273"
05107,"-75,55036",Municipio,BRICEÑO,05,ANTIOQUIA,"7,112803"
05113,"-75,907",Municipio,BURITICÁ,05,ANTIOQUIA,"6,720759"
05120,"-75,35205",Municipio,CÁCERES,05,ANTIOQUIA,"7,578366"
05125,"-75,98293",Municipio,CAICEDO,05,ANTIOQUIA,"6,405607"
05129,"-75,633673",Municipio,CALDAS,05,ANTIOQUIA,"6,091077"
05134,"-75,298091",Municipio,CAMPAMENTO,05,ANTIOQUIA,"6,979771"
05138,"-76,028228",Municipio,CAÑASGORDAS,05,ANTIOQUIA,"6,753859"
05142,"-74,757421",Municipio,CARACOLÍ,05,ANTIOQUIA,"6,409829"
05145,"-75,643868",Municipio,CARAMANTA,05,ANTIOQUIA,"5,54853"
05147,"-76,652652",Municipio,CAREPA,05,ANTIOQUIA,"7,755148"
05148,"-75,333901",Municipio,EL CARMEN DE VIBORAL,05,ANTIOQUIA,"6,082885"
05150,"-75,283192",Municipio,CAROLINA,05,ANTIOQUIA,"6,725995"
05154,"-75,197996",Municipio,CAUCASIA,05,ANTIOQUIA,"7,977278"
05172,"-76,681531",Municipio,CHIGORODÓ,05,ANTIOQUIA,"7,666147"
05190,"-75,087047",Municipio,CISNEROS,05,ANTIOQUIA,"6,537829"
05197,"-75,185483",Municipio,COCORNÁ,05,ANTIOQUIA,"6,058295"
05206,"-75,257587",Municipio,CONCEPCIÓN,05,ANTIOQUIA,"6,394348"
05209,"-75,908448",Municipio,CONCORDIA,05,ANTIOQUIA,"6,045738"
05212,"-75,509384",Municipio,COPACABANA,05,ANTIOQUIA,"6,348557"
05234,"-76,261614",Municipio,DABEIBA,05,ANTIOQUIA,"6,998112"
05237,"-75,39263",Municipio,DONMATÍAS,05,ANTIOQUIA,"6,485603"
05240,"-75,766413",Municipio,EBÉJICO,05,ANTIOQUIA,"6,325615"
05250,"-74,799097",Municipio,EL BAGRE,05,ANTIOQUIA,"7,5975"
05264,"-75,517685",Municipio,ENTRERRÍOS,05,ANTIOQUIA,"6,566273"
05266,"-75,582192",Municipio,ENVIGADO,05,ANTIOQUIA,"6,166695"
05282,"-75,675072",Municipio,FREDONIA,05,ANTIOQUIA,"5,928039"
05284,"-76,130765",Municipio,FRONTINO,05,ANTIOQUIA,"6,776066"
05306,"-75,952158",Municipio,GIRALDO,05,ANTIOQUIA,"6,680808"
05308,"-75,444238",Municipio,GIRARDOTA,05,ANTIOQUIA,"6,379472"
05310,"-75,220018",Municipio,GÓMEZ PLATA,05,ANTIOQUIA,"6,683269"
05313,"-75,184446",Municipio,GRANADA,05,ANTIOQUIA,"6,142892"
05315,"-75,239862",Municipio,GUADALUPE,05,ANTIOQUIA,"6,815069"
05318,"-75,441612",Municipio,GUARNE,05,ANTIOQUIA,"6,27787"
05321,"-75,160041",Municipio,GUATAPÉ,05,ANTIOQUIA,"6,232461"
05347,"-75,734322",Municipio,HELICONIA,05,ANTIOQUIA,"6,206757"
05353,"-75,906587",Municipio,HISPANIA,05,ANTIOQUIA,"5,799461"
05360,"-75,612056",Municipio,ITAGÜÍ,05,ANTIOQUIA,"6,175079"
05361,"-75,764673",Municipio,ITUANGO,05,ANTIOQUIA,"7,171629"
05364,"-75,818982",Municipio,JARDÍN,05,ANTIOQUIA,"5,597542"
05368,"-75,785499",Municipio,JERICÓ,05,ANTIOQUIA,"5,789748"
05376,"-75,429433",Municipio,LA CEJA,05,ANTIOQUIA,"6,028062"
05380,"-75,637708",Municipio,LA ESTRELLA,05,ANTIOQUIA,"6,145238"
05390,"-75,60781",Municipio,LA PINTADA,05,ANTIOQUIA,"5,743808"
05400,"-75,360874",Municipio,LA UNIÓN,05,ANTIOQUIA,"5,973845"
05411,"-75,812838",Municipio,LIBORINA,05,ANTIOQUIA,"6,677316"
05425,"-74,78716",Municipio,MACEO,05,ANTIOQUIA,"6,552116"
05440,"-75,339345",Municipio,MARINILLA,05,ANTIOQUIA,"6,173995"
05467,"-75,523455",Municipio,MONTEBELLO,05,ANTIOQUIA,"5,946313"
05475,"-76,817485",Municipio,MURINDÓ,05,ANTIOQUIA,"6,97771"
05480,"-76,435875",Municipio,MUTATÁ,05,ANTIOQUIA,"7,242875"
05483,"-75,176262",Municipio,NARIÑO,05,ANTIOQUIA,"5,610777"
05490,"-76,787271",Municipio,NECOCLÍ,05,ANTIOQUIA,"8,434526"
05495,"-74,77647",Municipio,NECHÍ,05,ANTIOQUIA,"8,094129"
05501,"-75,811773",Municipio,OLAYA,05,ANTIOQUIA,"6,626492"
05541,"-75,242693",Municipio,PEÑOL,05,ANTIOQUIA,"6,219349"
05543,"-75,910357",Municipio,PEQUE,05,ANTIOQUIA,"7,021029"
05576,"-75,839903",Municipio,PUEBLORRICO,05,ANTIOQUIA,"5,79158"
05579,"-74,410016",Municipio,PUERTO BERRÍO,05,ANTIOQUIA,"6,487028"
05585,"-74,583012",Municipio,PUERTO NARE,05,ANTIOQUIA,"6,186025"
05591,"-74,64119",Municipio,PUERTO TRIUNFO,05,ANTIOQUIA,"5,871318"
