cod_mpio,municipio,departamento,idx_minero,idx_deforestacion,idx_fuego,riesgo_nivel,mineria_titulos,rucom_registros,anm_proyectos,presion_extractiva,formalizacion,brecha_formalizacion,alerta_informalidad
99773,CUMARIBO,VICHADA,0.1102,0.8564,0.8971,Crítico,0,0,8,0.764,0.252,0.512,True
50350,LA MACARENA,META,0.2121,0.9652,0.6871,Crítico,0,0,22,0.785,0.286,0.499,True
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,0.0,0.9839,0.3203,Crítico,0,0,0,0.658,0.171,0.487,True
50325,MAPIRIPÁN,META,0.0,0.9098,0.713,Crítico,0,0,3,0.699,0.232,0.467,True
50711,VISTAHERMOSA,META,0.2605,0.8294,0.1735,Crítico,0,0,37,0.739,0.315,0.424,True
86573,PUERTO LEGUÍZAMO,PUTUMAYO,0.3506,0.8349,0.0,Crítico,0,0,23,0.627,0.287,0.34,True
52573,PUERRES,NARIÑO,0.305,0.2721,0.6539,Alto,3,3,5,0.787,0.461,0.326,True
52560,POTOSÍ,NARIÑO,0.434,0.2353,0.0,Medio,0,0,40,0.643,0.32,0.323,True
17662,SAMANÁ,CALDAS,0.3105,0.0,0.5649,Medio,0,0,31,0.623,0.305,0.318,True
47555,PLATO,MAGDALENA,0.1954,0.0,0.9034,Medio,0,0,25,0.612,0.294,0.318,True
86568,PUERTO ASÍS,PUTUMAYO,0.4297,0.7223,0.0,Crítico,0,0,51,0.656,0.339,0.317,True
18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,0.3478,1.0,0.539,Crítico,4,4,7,0.807,0.491,0.316,True
52233,CUMBITARA,NARIÑO,0.4325,0.0,0.4707,Medio,0,0,53,0.657,0.341,0.316,True
13430,MAGANGUÉ,BOLÍVAR,0.2489,0.0,0.7014,Alto,0,0,31,0.619,0.305,0.314,True
41349,HOBO,HUILA,0.3698,0.0,0.1571,Bajo,0,0,19,0.593,0.281,0.312,True
18756,SOLANO,CAQUETÁ,0.2555,0.8673,0.0,Crítico,0,0,25,0.602,0.294,0.308,True
18247,EL DONCELLO,CAQUETÁ,0.4067,0.4577,0.0,Alto,0,0,45,0.632,0.329,0.303,True
63212,CÓRDOBA,QUINDÍO,0.2485,0.3234,0.0,Bajo,0,0,18,0.582,0.279,0.303,True
97001,MITÚ,VAUPÉS,0.2187,0.706,0.0,Medio,0,0,23,0.589,0.287,0.302,True
19137,CALDONO,CAUCA,0.3406,0.0,0.3892,Medio,0,0,38,0.611,0.317,0.294,False
13440,MARGARITA,BOLÍVAR,0.3132,0.0,0.2385,Bajo,0,0,26,0.585,0.297,0.288,False
41298,GARZÓN,HUILA,0.4395,0.0,0.238,Medio,0,0,54,0.629,0.343,0.286,False
70771,SUCRE,SUCRE,0.4254,0.0,0.3113,Bajo,0,0,76,0.632,0.367,0.265,False
94001,INÍRIDA,GUAINÍA,0.5009,0.6368,0.0,Crítico,0,0,184,0.684,0.432,0.252,False
23068,AYAPEL,CÓRDOBA,0.5866,0.0,0.2991,Alto,0,0,304,0.704,0.455,0.249,False
20570,PUEBLO BELLO,CESAR,0.1856,0.0,0.6419,Alto,2,2,0,0.594,0.363,0.231,False
15533,PAYA,BOYACÁ,0.1856,0.0,0.4759,Bajo,2,2,0,0.579,0.363,0.216,False
13006,ACHÍ,BOLÍVAR,0.1572,0.0,0.5816,Bajo,0,0,74,0.581,0.365,0.216,False
52786,TAMINANGO,NARIÑO,0.1898,0.0,0.4811,Medio,1,1,2,0.582,0.379,0.203,False
50683,SAN JUAN DE ARAMA,META,0.3699,0.5085,0.0,Alto,1,1,16,0.621,0.429,0.192,False
