cod_mpio,municipio,departamento,lat,lon,riesgo_score,riesgo_nivel,riesgo_pred,confianza,idx_minero,idx_deforestacion,idx_hidrico,idx_sensibilidad,mineria_titulos,mineria_minerales,deforestacion_ha,runap_areas,runap_hectareas,agua_estaciones,mineria_volumen,mineria_regalias,es_pdet
5001,MEDELLÍN,ANTIOQUIA,6.246631,-75.581775,0.2496,Medio,Medio,0.905,0.6224,0.0,0.0,0.3178,34,10,0.0,3,143.3,0,4806.2,906.0,0
5002,ABEJORRAL,ANTIOQUIA,5.789315,-75.428739,0.2066,Medio,Medio,0.989,0.4567,0.0,0.0,0.4673,7,2,0.0,2,1494.5,0,6928.6,156.0,0
5004,ABRIAQUÍ,ANTIOQUIA,6.632282,-76.064304,0.2487,Medio,Medio,0.83,0.519,0.0,0.0,0.6708,3,1,0.0,3,36072.0,0,17583.9,2283.0,0
5021,ALEJANDRÍA,ANTIOQUIA,6.376061,-75.141346,0.0259,Bajo,Bajo,1.0,0.0,0.0,0.0,0.2594,0,0,0.0,2,56.8,0,0.0,0.0,0
5030,AMAGÁ,ANTIOQUIA,6.038708,-75.702188,0.2226,Medio,Medio,0.984,0.6359,0.0,0.0,0.0,41,18,0.0,0,0.0,0,1102.1,891.0,0
5031,AMALFI,ANTIOQUIA,6.909655,-75.077501,0.336,Crítico,Crítico,0.977,0.7805,0.0,0.0,0.6287,80,15,0.0,2,372.9,0,20438.4,0.0,1
5034,ANDES,ANTIOQUIA,5.657194,-75.878828,0.2256,Medio,Medio,0.997,0.6208,0.0,0.0,0.0836,19,9,0.0,1,2.7,0,19424.7,997.0,0
5036,ANGELÓPOLIS,ANTIOQUIA,6.109719,-75.711389,0.2165,Medio,Medio,0.996,0.6185,0.0,0.0,0.0,28,12,0.0,0,0.0,0,9900.6,22.0,0
5038,ANGOSTURA,ANTIOQUIA,6.885175,-75.335116,0.0757,Bajo,Bajo,1.0,0.1529,0.0,0.0,0.2216,0,0,0.0,2,31.0,0,1472.5,635.0,0
5040,ANORÍ,ANTIOQUIA,7.074703,-75.148355,0.314,Alto,Alto,0.991,0.6681,0.0,0.0,0.8014,27,9,0.0,2,5566.6,0,24152.4,1462.0,1
5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,6.556484,-75.826648,0.2706,Alto,Alto,0.983,0.5693,0.0,0.0,0.7133,8,4,0.0,1,70166.9,0,20067.1,548.0,0
5044,ANZÁ,ANTIOQUIA,6.302641,-75.854442,0.2249,Medio,Medio,0.994,0.6427,0.0,0.0,0.0,32,16,0.0,0,0.0,0,11873.0,1394.0,0
5045,APARTADÓ,ANTIOQUIA,7.882968,-76.625279,0.2308,Medio,Medio,0.981,0.3915,0.0,0.0,0.9378,6,5,0.0,4,47082.2,0,3146.5,0.0,1
5051,ARBOLETES,ANTIOQUIA,8.849317,-76.426708,0.0952,Bajo,Bajo,1.0,0.2719,0.0,0.0,0.0,4,2,0.0,0,0.0,0,0.0,0.0,0
5055,ARGELIA,ANTIOQUIA,5.731474,-75.14107,0.2518,Medio,Medio,0.937,0.5304,0.0,0.0,0.6613,0,0,0.0,2,31073.9,0,22092.9,650.0,0
5059,ARMENIA,ANTIOQUIA,6.155667,-75.786647,0.1299,Bajo,Bajo,1.0,0.3712,0.0,0.0,0.0,8,4,0.0,0,0.0,0,0.0,0.0,0
5079,BARBOSA,ANTIOQUIA,6.439195,-75.331627,0.2568,Alto,Medio,0.983,0.7338,0.0,0.0,0.0,26,9,0.0,0,0.0,0,49978.6,2124.0,0
5086,BELMIRA,ANTIOQUIA,6.606319,-75.667779,0.31,Alto,Alto,0.989,0.691,0.0,0.0,0.6814,48,3,0.0,1,42557.7,0,10746.8,4608.0,0
5088,BELLO,ANTIOQUIA,6.333587,-75.555245,0.231,Medio,Medio,0.996,0.6601,0.0,0.0,0.0,22,6,0.0,0,0.0,0,26756.8,12504.0,0
5091,BETANIA,ANTIOQUIA,5.74615,-75.97679,0.0659,Bajo,Bajo,1.0,0.0,0.0,0.0,0.6592,0,0,0.0,1,30060.7,0,0.0,0.0,0
5093,BETULIA,ANTIOQUIA,6.115208,-75.984452,0.2067,Medio,Medio,0.996,0.5907,0.0,0.0,0.0,32,16,0.0,0,0.0,0,0.0,0.0,0
5101,CIUDAD BOLÍVAR,ANTIOQUIA,5.850273,-76.021509,0.0,Bajo,Bajo,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0
5107,BRICEÑO,ANTIOQUIA,7.112803,-75.55036,0.2107,Medio,Medio,0.969,0.5305,0.0,0.0,0.25,3,1,0.0,0,0.0,0,19099.2,915.0,1
5113,BURITICÁ,ANTIOQUIA,6.720759,-75.907,0.1998,Medio,Medio,0.997,0.5709,0.0,0.0,0.0,19,9,0.0,0,0.0,0,9347.8,2063.0,0
5120,CÁCERES,ANTIOQUIA,7.578366,-75.35205,0.2621,Alto,Alto,0.862,0.6775,0.0,0.0,0.25,46,16,0.0,0,0.0,0,8145.4,5612.0,1
5125,CAICEDO,ANTIOQUIA,6.405607,-75.98293,0.1652,Bajo,Bajo,0.991,0.3014,0.0,0.0,0.5972,0,0,0.0,2,11403.5,0,4954.0,0.0,0
5129,CALDAS,ANTIOQUIA,6.091077,-75.633673,0.1903,Bajo,Bajo,0.932,0.4086,0.0,0.0,0.4725,3,3,0.0,1,1621.1,0,7228.8,599.0,0
