cod_mpio,municipio,departamento,defo_total_5a_ha,defo_ultimo_ano_ha,tendencia_ha_ano,aceleracion_ha_ano,proyeccion_prox_ano_ha,dinamica
50325,Mapiripan,Meta,40083.0,10623.0,1447.2,4346.0,12070.0,Acelerando
91669,Puerto Santander,Amazonas,1836.0,59.0,157.8,793.0,217.0,Acelerando
95200,Miraflores,Guaviare,7867.0,1857.0,202.3,688.0,2059.0,Acelerando
86320,Orito,Putumayo,3271.0,1050.0,194.0,612.0,1244.0,Acelerando
86568,Puerto Asis,Putumayo,6736.0,1571.0,154.1,366.0,1725.0,Acelerando
86865,Valle Del Guamuez,Putumayo,1661.0,656.0,115.2,316.0,771.0,Acelerando
94343,Barrancominas,Guainia,1516.0,233.0,48.1,250.0,281.0,Al alza
19533,Piamonte,Cauca,2387.0,594.0,62.7,222.0,657.0,Al alza
52356,Ipiales,Narino,908.0,258.0,64.7,212.0,323.0,Al alza
97511,Pacoa,Vaupes,1729.0,241.0,24.5,173.0,266.0,Al alza
86885,Villagarzon,Putumayo,2082.0,369.0,35.4,158.0,404.0,Al alza
86001,Mocoa,Putumayo,632.0,271.0,44.1,126.0,315.0,Al alza
91405,La Chorrera,Amazonas,963.0,300.0,39.4,124.0,339.0,Al alza
86757,San Miguel,Putumayo,581.0,207.0,37.4,106.0,244.0,Al alza
18610,San Jose Del Fragua,Caqueta,834.0,217.0,22.9,90.0,240.0,Al alza
19701,Santa Rosa,Cauca,723.0,211.0,22.4,82.0,233.0,Al alza
91530,Puerto Alegria,Amazonas,719.0,163.0,25.3,60.0,188.0,Al alza
94888,Morichal,Guainia,445.0,123.0,8.7,54.0,132.0,Al alza
94887,Pana Pana,Guainia,378.0,89.0,13.0,43.0,102.0,Al alza
97777,Papunahua,Vaupes,364.0,120.0,12.7,38.0,133.0,Al alza
50711,Vistahermosa,Meta,19108.0,4680.0,33.7,21.0,4714.0,Al alza
86569,Puerto Caicedo,Putumayo,4582.0,893.0,14.5,14.0,907.0,Al alza
52215,Cordoba,Narino,38.0,26.0,5.8,12.0,32.0,Al alza
52560,Potosi,Narino,24.0,8.0,1.6,6.0,10.0,Al alza
91540,Puerto Narino,Amazonas,120.0,6.0,-1.7,4.0,4.0,Al alza
94885,La Guadalupe,Guainia,146.0,3.0,0.3,3.0,3.0,Al alza
94883,San Felipe,Guainia,162.0,14.0,-1.2,-2.0,13.0,Estable/baja
50330,Mesetas,Meta,3936.0,1000.0,44.0,-3.0,1044.0,Estable/baja
97889,Yavarate,Vaupes,561.0,21.0,-3.8,-4.0,17.0,Estable/baja
97666,Taraira,Vaupes,692.0,112.0,0.9,-4.0,113.0,Estable/baja
91430,La Victoria,Amazonas,86.0,11.0,-1.5,-4.0,9.0,Estable/baja
86755,San Francisco,Putumayo,37.0,9.0,-4.4,-8.0,5.0,Estable/baja
91001,Leticia,Amazonas,522.0,133.0,-6.0,-11.0,127.0,Estable/baja
18479,Morelia,Caqueta,66.0,2.0,-4.6,-16.0,0.0,Estable/baja
91536,Puerto Arica,Amazonas,392.0,38.0,-13.8,-16.0,24.0,Estable/baja
91798,Tarapaca,Amazonas,618.0,48.0,-23.9,-22.0,24.0,Estable/baja
94884,Puerto Colombia,Guainia,824.0,232.0,10.7,-24.0,243.0,Estable/baja
91263,El Encanto,Amazonas,313.0,50.0,-8.3,-30.0,42.0,Estable/baja
50683,San Juan De Arama,Meta,573.0,103.0,-15.1,-38.0,88.0,Estable/baja
50568,Puerto Gaitan,Meta,582.0,114.0,-4.7,-41.0,109.0,Estable/baja
18205,Curillo,Caqueta,578.0,68.0,-16.1,-42.0,52.0,Estable/baja
18785,Solita,Caqueta,461.0,85.0,-12.9,-42.0,72.0,Estable/baja
91407,La Pedrera,Amazonas,712.0,74.0,-22.8,-56.0,51.0,Estable/baja
18256,El Paujil,Caqueta,324.0,64.0,-18.7,-65.0,45.0,Estable/baja
18247,El Doncello,Caqueta,294.0,40.0,-20.2,-68.0,20.0,Estable/baja
86760,Santiago,Putumayo,160.0,2.0,-29.6,-77.0,0.0,Estable/baja
